,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,Act-Cl13_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Fcgr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0035415606,0.0025489815,0.009771731,0.0,0.0,0.0,0.0014769274,0.0015199794,0.0012582908,0.00025890212,0.00039759968,0.0,0.00063537783,0.00093999505,0.00012701,0.00089280016,0.00021205607,0.0010736495,0.0018013197,0.0,0.0018429207,0.0019070767,0.0019052794,0.001917851,0.00038008328,0.0003808801,0.0
Smarca2,1.9360186,1.936419,1.9410334,1.3413149,1.3413149,1.3751175,0.73839396,0.7396274,0.87099963,0.6640558,0.66349715,0.66465545,0.6798089,0.6884854,0.635746,0.75248957,0.76399595,0.73101103,0.7604459,0.77973664,0.7282522,1.048552,1.2538518,0.9940113,1.0133952,1.0385734,1.0128137,1.1380783,1.1399273,0.99563086,1.1972756,1.197748,0.96547276
Hnrnpr,0.5265117,0.5264948,0.5273737,0.5422228,0.5422228,0.42968947,0.78230524,0.77608097,0.7546413,0.5465487,0.49618405,0.60061187,0.55845934,0.552012,0.59120166,0.6864917,0.6680623,0.72089326,0.48127207,0.4904743,0.46591467,0.42596823,0.427851,0.42546803,0.45474744,0.35815367,0.45697823,0.40581083,0.40620428,0.38855326,0.44697988,0.4469128,0.50987005
Zfp36l1,1.0618942,1.0619863,1.0638024,0.88417685,0.88417685,1.2782575,0.464333,0.47551695,0.5251352,0.48305714,0.5627102,0.3975548,0.48397812,0.5095565,0.35408035,0.39719507,0.4418052,0.31392282,0.3543783,0.41082644,0.26017353,0.6345377,0.77109,0.59826064,0.38734543,0.23160495,0.39094222,0.7117763,0.7164042,0.40815988,0.4797093,0.48002568,0.34631887
Bcl6,0.57279754,0.5730524,0.5703285,0.7543463,0.7543463,0.6852691,0.20998318,0.20271915,0.3650088,0.25003,0.276453,0.22166668,0.22353841,0.22865824,0.19753766,0.17015311,0.17400399,0.16296478,0.2632297,0.2846106,0.22754766,0.6458137,0.48934808,0.687381,0.17260785,0.24010715,0.17104898,0.35350615,0.35427898,0.28916228,0.1953456,0.19436692,0.5439907
Zbtb16,0.022247598,0.022272289,0.02249078,0.006959053,0.006959053,0.0,0.018289898,0.01959104,0.005474489,0.016813995,0.020322867,0.013047451,0.018410854,0.020373343,0.00844449,0.016831849,0.018573787,0.013580228,0.026668195,0.033979546,0.014466473,0.00404355,0.002406426,0.0044784755,0.013041682,0.043404914,0.0123404525,0.018503562,0.018440021,0.021459175,0.0048068906,0.0047386624,0.024901144
Pvr,0.04128257,0.041261096,0.041303683,0.049783394,0.049783394,0.101546735,0.09156585,0.09349864,0.06926674,0.059560407,0.059486233,0.059640028,0.08026907,0.08220539,0.07043561,0.07679842,0.080374576,0.07012291,0.07511544,0.082163066,0.06335385,0.062600546,0.071622945,0.060203616,0.058564264,0.0631103,0.058459274,0.086501025,0.086400494,0.09421554,0.07082392,0.070972405,0.03567062
Actl6a,0.092560396,0.092604555,0.09318421,0.086871944,0.086871944,0.15179776,0.22986913,0.23080216,0.20050499,0.11711228,0.113431156,0.121063724,0.16276076,0.16228023,0.16520114,0.20269449,0.19823554,0.21101785,0.17956884,0.18980618,0.16248399,0.09262992,0.10240902,0.09003196,0.08723631,0.07819984,0.087445006,0.06949618,0.06938791,0.07508058,0.063677326,0.063810825,0.018485067
Ivns1abp,0.18999523,0.18985027,0.18936285,0.2164303,0.2164303,0.29056168,0.4427286,0.44492394,0.3922846,0.29630816,0.31116065,0.28036496,0.35625798,0.3596384,0.33909073,0.38930297,0.40228355,0.36507258,0.4083496,0.40405232,0.4155212,0.30759132,0.36699867,0.29180893,0.19405966,0.28803352,0.19188936,0.30853626,0.30726013,0.39145502,0.21418793,0.21427776,0.13242553
Ly86,0.0018382213,0.0018402615,0.0018630063,0.0031565835,0.0031565835,0.044682138,0.017024154,0.015687704,0.028833615,0.0016124817,0.001364747,0.0018784086,0.017369559,0.017397312,0.017228613,0.0009887267,0.0010060607,0.00095637015,0.0027006315,0.0032889126,0.0017188642,0.006952378,0.005387294,0.0073681646,0.008317923,0.0,0.008510023,0.0039477427,0.0038323104,0.010878555,0.0012298982,0.0011868638,0.014504909
Il1rl1,0.0004427325,0.0004432239,0.00023442705,0.0047598155,0.0047598155,0.0,0.045737438,0.039177284,0.084371105,0.08537188,0.03182564,0.14285025,0.03706584,0.025840878,0.09407104,0.062394522,0.036142565,0.11139817,0.055232763,0.031733185,0.09445061,0.19149762,0.099287964,0.21599443,0.27050585,0.17121014,0.27279904,0.02219942,0.02142004,0.07219534,0.03746655,0.037545096,0.018195828
Cnot6,0.35909554,0.35927218,0.35919824,0.29664156,0.29664156,0.19545344,0.47822368,0.47878477,0.4251543,0.3488799,0.32196897,0.37776703,0.38938084,0.38513717,0.4109321,0.38001156,0.36010712,0.41716653,0.39300007,0.3926307,0.3936165,0.39598197,0.35255802,0.40751815,0.25185207,0.27760786,0.25125724,0.23270565,0.23205289,0.27335304,0.22753371,0.22740015,0.21276152
Med12,0.09765537,0.097645074,0.09777653,0.07789793,0.07789793,0.050998162,0.047738478,0.048567157,0.051015873,0.068528965,0.07187089,0.06494163,0.05038733,0.049947336,0.052621815,0.051970832,0.048584465,0.058292054,0.057879347,0.054380093,0.06371916,0.04972208,0.053939015,0.04860179,0.05861065,0.079774484,0.05812188,0.060351465,0.06057015,0.048617322,0.08097686,0.08100424,0.081214055
Vsir,0.3358391,0.33579603,0.33527768,0.32588673,0.32588673,0.34493607,0.165549,0.16720243,0.16496901,0.2122094,0.23527966,0.187445,0.20985097,0.21602894,0.1784765,0.18619041,0.20003255,0.16035174,0.23373534,0.23052251,0.23909715,0.23155637,0.27035987,0.22124767,0.21785368,0.19446886,0.21839374,0.2917646,0.292637,0.2397971,0.29732308,0.2976,0.19572157
Cbfb,1.1407219,1.1407207,1.1393094,0.9252807,0.9252807,1.1039556,1.4403517,1.4187975,1.5375036,1.010102,0.94709605,1.0777347,1.0536962,1.068425,0.97889614,1.3437337,1.3057866,1.4145681,1.1972286,1.2399514,1.1259295,1.039134,1.0673783,1.0316306,1.441599,0.98494947,1.4521451,0.97355527,0.97242415,1.0930402,1.1471136,1.1473433,1.4244785
Rbl1,0.51395506,0.5140452,0.513844,0.18022983,0.18022983,0.4007214,0.7186304,0.7149763,0.68115926,0.79667675,0.7103465,0.8893466,0.69803125,0.6836895,0.7708647,0.8972665,0.8712056,0.94591355,0.5166108,0.52583313,0.5012198,0.27042297,0.28996652,0.26523095,0.47909442,0.3051776,0.48311096,0.19595718,0.19501124,0.25079274,0.16743626,0.16729836,0.155479
Btg2,0.19965509,0.19944236,0.19936399,0.14925042,0.14925042,0.30336654,0.0796581,0.08109407,0.11479364,0.09264349,0.11123042,0.07269165,0.094918385,0.10189625,0.05948178,0.090245076,0.10341738,0.065656774,0.08960508,0.10251404,0.06806164,0.05647046,0.09185236,0.04707076,0.17327821,0.19618072,0.17274928,0.21718286,0.21842068,0.14524041,0.23810457,0.23827805,0.17465864
Klf9,0.057045694,0.057055283,0.057240892,0.090098456,0.090098456,0.11507274,0.026059818,0.024712594,0.05492382,0.02431914,0.022033771,0.026772333,0.025976064,0.025298111,0.029418994,0.03375712,0.025089556,0.049936574,0.029811032,0.02692256,0.034631528,0.067518614,0.059616424,0.06961794,0.036229443,0.056459103,0.035762243,0.027172342,0.027083881,0.0312129,0.030034136,0.030046973,0.032913383
Gtf2h2,0.24194802,0.24204066,0.24277312,0.08652119,0.08652119,0.2870991,0.2985501,0.2925792,0.33976758,0.188737,0.18428183,0.19351935,0.21400225,0.21028817,0.232864,0.19829695,0.2005772,0.19404049,0.21876542,0.22094774,0.21512339,0.17490849,0.1521031,0.18096706,0.19152252,0.18102357,0.191765,0.11400626,0.11397048,0.11360703,0.11629753,0.116231784,0.18072553
Polr2k,0.06463958,0.064711325,0.064368255,0.10811822,0.10811822,0.053461157,0.1799228,0.1779009,0.17136507,0.13867901,0.14449403,0.13243699,0.17257616,0.17127162,0.17920116,0.16794658,0.17294112,0.15862343,0.18578333,0.18892123,0.18054658,0.10733761,0.09109146,0.111653626,0.09482466,0.11249237,0.094416626,0.07312487,0.072697185,0.0957251,0.07377577,0.073881924,0.015425585
Mef2c,0.0029114117,0.002914643,0.002706377,0.017772933,0.017772933,0.0,0.060568478,0.05619841,0.091494784,0.048809018,0.04165763,0.05648556,0.06833225,0.061985865,0.100561894,0.022448184,0.018372808,0.030055553,0.018829022,0.017238596,0.021483239,0.04620529,0.04660751,0.046098433,0.021637527,0.0,0.02213724,0.02767092,0.026795816,0.08033284,0.0073347534,0.0073501305,0.0
Ascc3,2.1410131,2.1410246,2.1383243,2.7220774,2.7220774,2.5431166,2.1511586,2.1620743,2.152001,2.0938911,2.0563667,2.134171,2.1173017,2.108421,2.162401,2.4797142,2.437454,2.5586002,2.5070376,2.415826,2.6592581,3.1199818,2.860972,3.1887915,2.2982557,2.4494128,2.2947648,2.571669,2.5670009,2.8452537,2.2421577,2.2410014,2.48963
Trem1,0.00017656642,0.00017676239,0.00017894708,0.0,0.0,0.0,0.0028765942,0.0025269666,0.005602951,9.595651e-05,0.00017558224,1.0483521e-05,0.0032190704,0.0032121541,0.003254195,0.00020994527,0.00032241596,0.0,0.00072417787,0.0008833365,0.00045856208,0.00043860395,0.0008166213,0.0003381783,0.00023795266,0.0,0.0002434481,0.0005864899,0.00059547444,0.0,0.0003487895,0.0003495207,0.0
Rnps1,0.06463965,0.06456224,0.06478885,0.08339201,0.08339201,0.0,0.124403976,0.12563065,0.10730512,0.10673263,0.10026657,0.113673516,0.11561685,0.11020695,0.14309068,0.11406407,0.10382185,0.13318285,0.1010159,0.10302606,0.09766119,0.07967711,0.072580636,0.08156239,0.038557146,0.071860746,0.03778801,0.05606543,0.055931635,0.06138886,0.04188864,0.04183439,0.04517616
Cd53,1.615775,1.616046,1.6105644,2.7376647,2.7376647,1.855032,1.1416456,1.1618643,1.1032952,1.6913167,2.0570402,1.2987366,1.6264155,1.6689284,1.4105169,1.4959048,1.6078604,1.2869211,1.8858294,1.9295824,1.8128114,1.3750205,1.6602886,1.2992351,1.0517563,1.5407666,1.0404627,2.2423487,2.2470388,1.937897,1.7593281,1.7583921,2.2551112
Ezh2,0.24443707,0.24456565,0.2427861,0.2052341,0.2052341,0.16373026,1.626127,1.6105981,1.4552124,1.3059014,1.2191254,1.3990498,1.0959506,1.1029023,1.0606468,1.5123674,1.5245937,1.489545,0.81267226,0.8949875,0.6752984,0.71518296,0.72619563,0.71225727,0.8146544,0.46330214,0.8227688,0.37460542,0.37311918,0.46507043,0.36855626,0.36874866,0.3752597
Pias2,0.8307244,0.83110344,0.8290559,0.84632254,0.84632254,0.6802584,0.67594796,0.6727977,0.7004813,0.4623271,0.40517604,0.523675,0.513654,0.50252205,0.5701869,0.5451086,0.5316652,0.570203,0.47864407,0.4701048,0.49289504,0.70411944,0.751379,0.69156426,0.5408484,0.49966168,0.5417996,0.51101327,0.5112071,0.49843058,0.5827544,0.58289975,0.6767203
Fasl,0.006522955,0.0065301945,0.0063292696,0.11050788,0.11050788,0.094682604,0.2387941,0.24651328,0.19458385,0.5809509,0.70548356,0.44727325,0.46040648,0.47837323,0.36916345,0.43077868,0.46379346,0.36915115,0.559644,0.60785985,0.4791778,0.10776961,0.15642418,0.094843835,0.5299182,0.9142443,0.5210423,0.85951865,0.86312336,0.64784247,1.1881803,1.1886137,1.0345589
Hmmr,0.0053243726,0.0053302823,0.0051406296,0.0026602375,0.0026602375,0.0,0.13847451,0.13562973,0.13031882,0.3226306,0.28236407,0.36585408,0.16306858,0.15094197,0.22465274,0.16265497,0.16130388,0.165177,0.033696804,0.042774826,0.018546725,0.029914917,0.035953175,0.028310768,0.020110367,0.008945137,0.020368224,0.002828336,0.0025935697,0.01719793,0.0026185971,0.0026240868,0.0
Tgif2,0.048845824,0.048833217,0.048672583,0.11826593,0.11826593,0.090729624,0.111787386,0.113797,0.08638582,0.12467179,0.11988532,0.12980974,0.13676557,0.13782957,0.13136208,0.15003677,0.14703122,0.15564713,0.12309349,0.11787853,0.13179661,0.14836003,0.15512885,0.14656179,0.05683858,0.09530843,0.05595013,0.12230894,0.12207407,0.13845578,0.056763597,0.05662185,0.10641686
Snai3,0.017962215,0.017982151,0.018098779,0.025407203,0.025407203,0.07670118,0.0187947,0.019118845,0.02005928,0.016568223,0.020183012,0.012687987,0.017403144,0.017639246,0.016204122,0.019804597,0.022359462,0.015035516,0.018394934,0.016906785,0.020878466,0.016598951,0.015847966,0.01679846,0.039138693,0.04197305,0.039073236,0.024214445,0.024330102,0.015787503,0.006678283,0.006692284,0.0
Pou6f1,0.39990565,0.39973584,0.40031987,0.58721703,0.58721703,0.799436,0.14082366,0.14782244,0.25683174,0.15837619,0.17325869,0.14240082,0.13482063,0.14610633,0.07750687,0.11003013,0.11442914,0.101818636,0.14876553,0.1667569,0.1187402,0.4600137,0.5788946,0.42843127,0.22430755,0.07937106,0.22765481,0.4604265,0.46318188,0.29273602,0.1398543,0.13986476,0.17811972
Foxj2,0.084089436,0.08410105,0.084624566,0.04806317,0.04806317,0.019569097,0.042745814,0.043185756,0.048670836,0.06482823,0.0656036,0.06399592,0.052686345,0.052851383,0.051848218,0.05843419,0.05394946,0.06680568,0.05457155,0.05229127,0.058377054,0.056206938,0.063840136,0.05417907,0.072033785,0.11472159,0.07104792,0.06896033,0.06855511,0.090390496,0.05511103,0.055184092,0.08102709
Selplg,1.745419,1.7449858,1.7473676,1.7000428,1.7000428,1.9570938,2.0617886,2.0911255,1.8661927,2.7125947,3.0328412,2.3688314,2.6453135,2.6857817,2.439798,2.405027,2.4401956,2.3393784,2.9118316,2.9431808,2.859514,1.7832861,1.9743555,1.7325258,2.3567908,2.359118,2.3567371,2.5396042,2.5385306,2.5574157,2.436025,2.435542,2.6596072
Cd38,0.0046725404,0.0046777264,0.0046875854,0.005682833,0.005682833,0.08982114,0.02102876,0.020362811,0.04878277,0.025315125,0.026703393,0.023824912,0.019401714,0.01894607,0.021715669,0.016847886,0.011832534,0.026209876,0.024944821,0.014048899,0.043128744,0.04166047,0.036277264,0.043090597,0.14764032,0.07758256,0.14925829,0.035578273,0.035548363,0.04015679,0.020562142,0.02060525,0.023499696
Arid1a,1.2297286,1.2302961,1.2338053,0.54995596,0.54995596,1.1713064,0.5980276,0.5914839,0.71895915,0.62647873,0.567852,0.6894106,0.57609135,0.56760114,0.61920846,0.6675729,0.6581814,0.6851038,0.4637325,0.48890066,0.42173004,0.58171624,0.5215388,0.5977032,0.87185705,0.64530784,0.87708914,0.48962027,0.49050084,0.43561012,0.4628974,0.463126,0.4583826
Notch3,0.0,0.0,0.0,0.0,0.0,0.0,0.002271135,0.0020715513,0.003207857,0.00456768,0.007955633,0.00093093596,0.0016147869,0.0017965548,0.00069169136,0.00261535,0.0035310928,0.00090596324,0.0055641285,0.0064456654,0.004092954,0.0014426016,0.002387326,0.0011916221,0.00039731222,0.0,0.00040648802,0.0015748487,0.001598974,0.0,0.046957713,0.047056157,0.0
Ighm,0.983149,0.98344815,0.98348045,0.6233361,0.6233361,0.60147274,0.61668164,0.58414847,0.81954145,0.5121069,0.33391282,0.7033865,0.4858562,0.42812487,0.77904075,0.48465687,0.38750935,0.66599894,0.5945561,0.4280072,0.8725053,0.8743037,0.8171688,0.88948244,0.6918512,0.61303717,0.6936714,0.47521463,0.47138155,0.69215626,0.2388375,0.23904651,0.10880489
Rgs14,0.034714334,0.03475286,0.0349928,0.007659362,0.007659362,0.0,0.008575505,0.00903974,0.006493927,0.009473147,0.010101264,0.008798904,0.008326405,0.007894097,0.010521846,0.011654963,0.008904291,0.016789548,0.007656379,0.006132404,0.010199702,0.008601509,0.011762116,0.007761849,0.014961687,0.010882791,0.015055887,0.008493891,0.008356351,0.019518279,0.014587981,0.014558789,0.037203938
Zfp62,0.22455889,0.224649,0.2235038,0.3318706,0.3318706,0.2689687,0.28196123,0.28214365,0.2863923,0.35276157,0.34180757,0.36451995,0.30217218,0.2973438,0.3266927,0.34406012,0.34584007,0.34073758,0.360571,0.34379265,0.3885719,0.5496713,0.5084981,0.5606095,0.24280298,0.26723242,0.24223877,0.36900952,0.36838236,0.40418994,0.35339713,0.35351774,0.24943827
Gadd45b,0.15270601,0.1528104,0.15302844,0.06799571,0.06799571,0.050592057,0.14318196,0.14503671,0.11315259,0.14772266,0.13295986,0.16356954,0.16294046,0.1642484,0.15629809,0.16079076,0.15760751,0.16673282,0.16210695,0.15794244,0.16905695,0.14982532,0.1575614,0.1477701,0.067803405,0.11954622,0.06660842,0.1432715,0.14285454,0.1672207,0.18955436,0.1894513,0.21319374
Ankra2,0.090988144,0.09096968,0.09057945,0.12067891,0.12067891,0.077182546,0.11343363,0.11366418,0.104642235,0.10477327,0.10022767,0.109652676,0.11425394,0.114671946,0.112131104,0.09621847,0.0943782,0.09965363,0.15363674,0.15270348,0.15519422,0.10053785,0.090240225,0.10327356,0.11608702,0.07405261,0.11705779,0.10664625,0.10710428,0.07810051,0.10407769,0.103928715,0.11675954
Mllt3,3.611936,3.6119702,3.6124861,2.684538,2.684538,2.8553329,3.8173058,3.707499,4.550291,3.7537735,3.3660307,4.1699896,3.4509842,3.3717468,3.8533857,3.5427206,3.3742585,3.857183,3.382536,3.234331,3.6298714,4.573915,3.608819,4.8303065,5.1450424,3.883468,5.1741776,2.954278,2.9530294,3.0650585,2.910135,2.9108312,2.9490335
Zhx2,1.2419041,1.2413224,1.245661,1.1841435,1.1841435,1.1558409,0.3025203,0.30233318,0.5071331,0.22218573,0.19264983,0.25389057,0.24053754,0.24876301,0.19876507,0.23499388,0.2127721,0.27647454,0.18599434,0.17860132,0.19833234,0.62760586,0.6892495,0.6112293,0.20873494,0.18838203,0.20920499,0.4464695,0.449938,0.21714589,0.30506068,0.30503365,0.26017725
Polr3d,0.037533384,0.03757504,0.03742394,0.08000103,0.08000103,0.10858482,0.0597626,0.058760464,0.064465664,0.039585996,0.03953191,0.039644055,0.0482135,0.045328207,0.062866256,0.058099672,0.058428984,0.05748495,0.08598918,0.08363356,0.08992041,0.05225625,0.04140412,0.055139273,0.03566845,0.049008835,0.035360362,0.028330687,0.02775015,0.062741235,0.016977001,0.016862417,0.047755826
Prdm5,0.0043379855,0.0043428005,0.004167493,0.0146216415,0.0146216415,0.0,0.05446861,0.05060392,0.07048052,0.0066381083,0.0035594758,0.0099428175,0.019459177,0.018536378,0.024145547,0.02873142,0.02762785,0.03079142,0.012020012,0.0082485685,0.018314077,0.048732072,0.027512595,0.054369327,0.015891358,0.01268896,0.015965316,0.0045163534,0.004531458,0.0033445465,0.008618786,0.0086368555,0.0
Ms4a1,0.0,0.0,0.0,8.086466e-05,8.086466e-05,0.0,0.0006430057,0.0006923244,0.00016743613,0.00078678544,0.00014830944,0.0014721474,0.00049681624,0.0003429665,0.0012781316,0.00032636002,0.0003687039,0.0002473181,0.00079404673,0.00064666156,0.0010400141,0.005095235,0.004912242,0.00514385,0.0013684919,0.0,0.0014000968,2.1267311e-05,2.1593109e-05,0.0,0.0,0.0,0.0
Atf3,0.0026302557,0.002633175,0.0025351106,0.04419122,0.04419122,0.0,0.04139699,0.03833167,0.0558472,0.015646417,0.022052778,0.008769609,0.04350718,0.043377947,0.04416349,0.013781185,0.014289716,0.012831928,0.024090927,0.023776408,0.024615817,0.03254163,0.04171457,0.030104708,0.012160165,0.0036599904,0.012356474,0.02270518,0.02254464,0.034445412,0.021389978,0.021434821,0.0
Cd8b1,0.7208324,0.7207722,0.72222805,0.58633816,0.58633816,0.7173387,0.62205684,0.6344847,0.51443183,0.57224363,0.6889876,0.44692662,0.67119503,0.7019521,0.5149972,0.5678079,0.6192492,0.47178414,0.66239846,0.7433573,0.52728844,0.4137281,0.55909574,0.3751091,0.3285228,0.53076357,0.3238521,0.6009966,0.6027304,0.49560827,0.690448,0.6905126,0.54381704
Nr4a2,0.32664916,0.3269318,0.32330665,0.845884,0.845884,0.77683085,1.9778317,1.9759445,1.7638956,2.1471393,2.135254,2.1598976,2.3013873,2.3215644,2.198918,2.2041197,2.165795,2.2756588,2.12524,2.1361423,2.1070454,2.7735353,2.8289642,2.7588098,1.8407357,2.8166816,1.8181965,2.1665745,2.1647162,2.2252243,1.772655,1.7731398,1.198109
Rad51,0.021374756,0.02139848,0.020714866,0.028441818,0.028441818,0.0389316,0.54925346,0.5437061,0.48308793,0.41373986,0.4206512,0.406321,0.47009584,0.47575706,0.4413457,0.5778808,0.55535716,0.61992496,0.26201963,0.2788861,0.2338716,0.1296823,0.13814986,0.12743278,0.13630652,0.11297652,0.13684532,0.036260612,0.034877542,0.11988406,0.022170037,0.022216516,0.0
Nfkbib,0.12630633,0.12632774,0.12569864,0.23159641,0.23159641,0.112435654,0.31265992,0.31363904,0.27685964,0.37613854,0.39063317,0.3605795,0.36664575,0.36394376,0.38036767,0.3697096,0.34716743,0.4117883,0.4224604,0.40131786,0.4577446,0.39729896,0.41579902,0.39238414,0.2713752,0.35391334,0.269469,0.31670296,0.31472704,0.4350423,0.30304068,0.30281913,0.45059535
Sf1,0.6414373,0.64145136,0.6403231,1.0179276,1.0179276,0.7071672,0.9799235,0.98917794,0.8724134,0.7727578,0.77887464,0.7661918,0.8671877,0.87675166,0.81861764,0.9694642,0.9845913,0.94122696,0.805864,0.85456246,0.7245924,0.70082915,0.7931117,0.676313,0.64211035,0.66768694,0.64151967,0.7919509,0.79319876,0.7224739,0.7841877,0.7846062,0.72220695
Elf1,3.697822,3.6988971,3.6976266,4.142715,4.142715,4.048377,2.6823027,2.6928391,2.6925068,3.3689492,3.5384648,3.1869855,3.2345934,3.2572045,3.1197639,3.3179126,3.3588836,3.2414331,3.6888766,3.7143779,3.6463184,3.2542615,3.2875526,3.2454174,2.4978936,2.9382818,2.4877229,2.6788485,2.6698008,3.201798,1.988485,1.9868011,2.5576923
Fkbp2,0.013457159,0.013472094,0.01351975,0.0031455355,0.0031455355,0.0,0.03985895,0.04018008,0.03252503,0.01814787,0.019595899,0.016593508,0.023641335,0.023826897,0.022698969,0.022670725,0.020668507,0.026408203,0.02272875,0.020794993,0.02595595,0.011990501,0.010784807,0.01231081,0.0077121616,0.008895121,0.0076848418,0.009412476,0.009426442,0.008053374,0.0033227922,0.003329758,0.0
Jade1,0.048168235,0.048083115,0.04833546,0.045807213,0.045807213,0.019050771,0.085094094,0.08635257,0.060674038,0.05302814,0.044618275,0.062055573,0.054007623,0.056079164,0.04348743,0.08913557,0.07997208,0.10624075,0.058577597,0.065834045,0.04646749,0.035983395,0.0374676,0.035589095,0.03926348,0.02061719,0.03969411,0.025130961,0.02517802,0.022471596,0.025504403,0.025400382,0.05008183
Itgb2,0.17935134,0.17935482,0.17994328,0.1250748,0.1250748,0.25073373,0.16874214,0.17023079,0.19463769,0.1912594,0.19726677,0.18481088,0.19795471,0.19925225,0.19136529,0.2020176,0.21092978,0.18538155,0.20130041,0.21042933,0.1860654,0.15357237,0.13238493,0.15920112,0.21238337,0.24270797,0.21168303,0.2414859,0.24122927,0.27315316,0.4100507,0.41050562,0.32955974
Il7r,1.3560712,1.3556625,1.3552221,1.4658786,1.4658786,1.6146371,0.22703657,0.23112676,0.4392892,0.12212847,0.13459265,0.108749,0.15859422,0.16349746,0.13369338,0.10372926,0.108889475,0.094096854,0.15213528,0.16105512,0.13724922,0.5082086,0.49156424,0.51263034,0.29991582,0.11577382,0.30416852,0.319149,0.32110012,0.18684565,0.045035105,0.04466221,0.14860299
Nap1l1,0.21961658,0.21970592,0.21814887,0.3260154,0.3260154,0.36517072,2.196246,2.1786604,1.9316311,0.87109417,0.84012735,0.90433496,1.2906144,1.3017465,1.2340804,1.3255162,1.3672324,1.247646,1.0154592,1.0998274,0.8746592,0.6570011,0.64360243,0.6605606,0.7294298,0.58813214,0.732693,0.34094125,0.33965707,0.44194087,0.3676352,0.3678831,0.30962703
Wdhd1,0.103018805,0.10299997,0.102175504,0.123425834,0.123425834,0.11277626,0.8411864,0.831222,0.7530455,0.3265944,0.33236572,0.32039928,0.49415508,0.51089823,0.40912625,0.6968286,0.71566296,0.66167116,0.43000215,0.480392,0.34590787,0.21392725,0.24982478,0.20439057,0.22213906,0.12893924,0.22429147,0.119595416,0.11920521,0.13743202,0.112746514,0.11282058,0.05161218
Mcm6,0.16042598,0.16049011,0.1585461,0.23924199,0.23924199,0.08382316,2.0286074,2.0277655,1.646925,1.2929777,1.3185288,1.2655503,1.7044892,1.6976707,1.7391165,2.1431222,2.0937548,2.2352748,1.5169758,1.6178946,1.3485547,0.65909183,0.65068805,0.6613244,0.8285547,0.6254084,0.8332463,0.33922112,0.33537963,0.5708679,0.3789453,0.3786148,0.54877114
Jarid2,1.9134184,1.9141179,1.9125227,2.1911108,2.1911108,2.4856093,1.634035,1.6327553,1.606877,1.7500812,1.6126648,1.8975885,1.7815698,1.7617968,1.8819863,1.4173242,1.4250118,1.4029741,1.7808753,1.7511818,1.8304302,3.0004113,2.8130178,3.0501947,2.4051154,2.4605818,2.4038343,2.125593,2.1254585,2.1159773,1.8626182,1.863228,1.5809562
Tnfrsf1a,0.011936027,0.011949275,0.011703037,0.028266327,0.028266327,0.04031124,0.004377351,0.004580122,0.008110157,0.00588539,0.004114888,0.0077859075,0.0070838532,0.0072179493,0.0064028553,0.0051971693,0.0043889317,0.0067058797,0.008670222,0.012116274,0.0029191964,0.002205845,0.0033672024,0.001897314,0.0044093896,0.0,0.004511223,0.005791626,0.0058219945,0.005695723,0.0048733545,0.0048835715,0.0
Ighd,0.11305399,0.113032505,0.113578305,0.013500672,0.013500672,0.07638891,0.0052926545,0.0053445543,0.022390708,0.008616118,0.008567354,0.008668463,0.004895792,0.003973901,0.009577554,0.00393722,0.0033279296,0.0050745625,0.0038789178,0.0024390244,0.006281919,0.01728575,0.009156635,0.019445365,0.005341934,0.0,0.005465304,0.0015861177,0.0014578076,0.0094375955,0.00012979221,0.00013006432,0.0
Zbtb20,8.616533,8.6147,8.629202,6.561272,6.561272,9.296759,1.1238458,1.1477355,2.4720178,1.5247679,1.4431106,1.6124215,1.3388462,1.3551517,1.2560402,1.1504914,1.0991304,1.2463653,0.5612305,0.5659757,0.5533113,2.4086199,2.5423753,2.373086,1.1027287,0.93861055,1.106519,1.5497624,1.5550961,1.2774032,1.9973012,1.9993211,1.4742281
Pbrm1,1.1421468,1.1424146,1.1431584,0.9093123,0.9093123,0.81268525,1.0831373,1.0730673,1.1100773,1.2254534,1.1944747,1.2587069,1.1082888,1.0935823,1.1829747,1.143375,1.1133022,1.199511,0.9287117,0.9237669,0.93696404,0.8657379,0.9417312,0.8455492,1.06998,0.8385619,1.0753245,0.9574958,0.9573722,1.0038705,1.0898916,1.0901486,1.1305735
Tnfrsf1b,0.18799779,0.18812656,0.18659528,0.8439085,0.8439085,0.605005,0.55850536,0.54920065,0.6501565,1.0314746,0.94666374,1.1225134,0.87749314,0.85646546,0.98428077,0.8896163,0.8067247,1.0443473,0.90098506,0.7697513,1.1199979,1.2383254,1.0768046,1.2812356,1.0686228,1.2095321,1.0653687,0.89099604,0.8876881,1.0772101,0.5865247,0.58624494,0.68684775
