gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Gm47442,,,,,,,,,,,,,,,,,,,,,,
Acsl5,0.0,1.0,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,0.921,0.0,0.077,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.911,0.0
Igkv4-55,1.0,1.0,1.0,0.245,0.913,0.237,0.931,0.636,0.926,0.518,0.844,0.267,1.0,0.992,0.991,0.574,1.0,0.575,0.049,0.904,0.52,0.162
Gm15049,,,,,,,,,,1.0,,,,,,,,,,,,
4930415O20Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Lrr1,0.0,0.004,0.0,0.0,0.948,0.0,0.0,0.454,0.0,0.0,0.898,0.0,0.365,0.0,0.0,0.792,0.0,0.0,0.0,0.0,0.481,0.0
Cps1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm43442,,,,,,,,,,1.0,,,,,,,,,,,,
Taar5,,,,,,,,,,1.0,,,,,,,,,,,,
Rpl31-ps10,0.506,1.0,0.857,0.956,0.989,0.688,0.8,1.0,0.42,0.136,0.935,0.014,,0.845,0.452,,0.825,0.76,0.209,0.067,0.705,0.346
Nectin1,0.685,,1.0,,,0.671,,,0.974,1.0,,0.34,,0.84,0.812,,0.86,0.303,0.496,,,0.872
Vmn2r92,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28314,,,,,,,,,,,,,,,,,,,,,,
Gbe1,0.0,1.0,0.002,0.128,0.712,0.035,0.575,0.696,0.272,0.208,0.877,0.028,0.752,0.012,0.002,0.915,0.009,0.0,0.002,0.001,0.846,0.0
Gm9825,,,,,,,,,,1.0,,,,,,,,,,,,
Gm39481,,,,,,,,,,,,,,,,,,,,,,
Usp4,0.002,1.0,0.024,0.577,0.891,0.999,0.911,1.0,0.683,0.635,0.874,0.096,0.659,0.574,0.983,0.979,0.155,0.528,0.528,0.491,0.486,0.87
Ndufc1,0.723,1.0,0.008,0.826,0.879,0.078,0.174,0.764,0.607,0.96,0.773,0.183,0.083,0.162,0.629,0.566,0.001,0.009,0.023,0.006,0.724,0.044
Tmem163,0.981,0.463,0.566,0.0,0.781,0.0,0.0,1.0,0.0,0.0,0.155,0.0,0.702,0.0,0.0,0.894,0.004,0.0,0.0,0.0,0.006,0.0
Gm36210,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1004-ps1,,,,,,,,,,,,,,,,,,,,,,
Paip2b,0.279,1.0,0.006,0.0,0.602,0.0,0.0,0.516,0.0,0.0,0.764,0.0,0.269,0.0,0.0,0.569,0.001,0.0,0.0,0.001,0.147,0.0
Palm,0.075,0.838,0.412,0.0,0.834,0.0,0.0,1.0,0.0,0.0,0.972,0.0,0.48,0.0,0.0,0.953,0.663,0.0,0.0,0.0,0.473,0.0
Oxld1,0.268,1.0,0.003,0.789,0.942,0.258,0.635,1.0,0.031,1.0,0.987,0.281,0.211,0.919,0.183,0.963,0.004,0.523,0.095,0.389,0.943,0.304
Olfr507,,,,,,,,,,1.0,,,,,,,,,,,,
Tex46,,,,,,,,,,1.0,,,,,,,,,,,,
Gm45171,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11875,,,,,,,,,,1.0,,,,,,,,,,,,
Vmn2r63,,,,,,,,,,1.0,,,,,,,,,,,,
Gm7997,,,,,,,,,,1.0,,,,,,,,,,,,
Etfb,0.423,0.409,0.0,0.0,0.903,0.0,0.0,0.867,0.0,0.0,0.964,0.0,0.016,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.555,0.0
Gm15120,,,,,,,,,,1.0,,,,,,,,,,,,
Scrn1,0.898,1.0,0.841,0.345,0.993,0.126,0.935,0.954,0.573,1.0,0.828,0.706,,0.125,0.029,,0.646,0.148,0.065,0.145,,0.112
Gm29808,,,,,,,,,,1.0,,,,,,,,,,,,
Mex3a,0.43,1.0,0.8,0.009,0.747,0.001,0.022,1.0,0.003,0.002,0.516,0.0,,0.008,0.001,0.876,0.899,0.068,0.001,0.05,0.251,0.0
Zfp219,0.0,1.0,0.0,0.02,0.797,0.002,0.047,1.0,0.004,0.023,0.849,0.001,,0.037,0.003,0.641,0.01,0.059,0.015,0.021,0.764,0.138
Cdca2,0.0,0.966,0.0,0.0,0.904,0.0,0.0,1.0,0.0,0.0,0.947,0.0,0.147,0.0,0.0,0.906,0.0,0.0,0.0,0.0,0.975,0.0
Gm14518,,,,,,,,,,1.0,,,,,,,,,,,,
Gm9803,0.018,1.0,0.0,0.122,0.647,0.787,0.005,0.697,0.157,0.352,0.929,0.924,0.32,0.127,0.78,0.902,0.0,0.259,0.834,0.693,0.378,0.441
Gm11774,,,,,,,,,,,,,,,,,,,,,,
Gm19611,,,,,,,,,,1.0,,,,,,,,,,,,
Irs3,,,,,,,,,,1.0,,,,,,,,,,,,
Wt1,,,,,,,,,,1.0,,,,,,,,,,,,
Zfp959,0.0,0.514,0.005,0.97,0.565,0.258,0.687,1.0,0.104,1.0,0.964,0.386,0.378,0.927,0.351,0.833,0.604,0.667,0.246,0.662,0.897,0.861
Laptm5,0.0,0.952,0.001,0.0,0.843,0.0,0.0,0.984,0.0,0.001,0.653,0.0,0.903,0.0,0.0,0.518,0.0,0.001,0.0,0.054,0.127,0.0
Chodl,,,,,,,,,,1.0,,,,,,,,,,,,
Matn1,,,,,,0.984,,,,1.0,,0.822,,,0.698,,0.927,0.825,,,,
Slc2a4,,,,,,,,,,1.0,,,,,,,,,,,,
Nr6a1,0.0,1.0,0.0,0.4,0.899,0.005,0.343,1.0,0.003,0.872,0.904,0.009,0.154,0.426,0.006,0.816,0.0,0.046,0.036,0.087,0.975,0.073
Rdh1,0.622,1.0,0.207,0.165,0.915,0.026,0.198,1.0,0.033,0.615,0.986,0.077,0.615,0.282,0.056,0.972,0.204,0.124,0.007,0.051,0.952,0.033
Fem1b,0.018,1.0,0.0,0.02,0.593,0.767,0.014,1.0,0.682,0.108,0.944,1.0,0.102,0.058,1.0,0.852,0.0,0.224,0.885,0.666,0.953,0.552
Npw,0.0,0.896,0.0,0.864,0.458,0.983,0.555,1.0,0.698,0.004,0.953,0.003,,0.989,0.861,0.795,0.0,0.052,0.174,0.014,0.238,0.575
Fam107b,0.0,1.0,0.013,0.002,0.751,0.0,0.0,1.0,0.0,0.0,0.256,0.0,0.023,0.0,0.0,0.174,0.055,0.0,0.0,0.0,0.925,0.0
Snrpb,0.18,0.879,0.393,0.005,0.912,0.0,0.09,1.0,0.0,0.012,0.969,0.0,0.039,0.033,0.0,0.856,0.011,0.0,0.0,0.0,0.585,0.0
Gm16430,,,,,,,,,,1.0,,,,,,,,,,,,
Gm12622,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8082,,,,,,,,,,1.0,,,,,,,,,,,,
Trim9,0.807,,0.838,0.781,,0.346,,,0.796,1.0,,0.94,,0.838,0.376,,0.843,0.176,0.568,0.826,,0.288
Gc,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28627,,,,,,,,,,,,,,,,,,,,,,
1700001P01Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Gm12393,,,,,,,,,,1.0,,,,,,,,,,,,
Eri3,0.0,0.959,0.0,0.082,0.875,0.727,0.004,1.0,0.168,0.12,0.978,0.643,0.282,0.017,0.35,0.666,0.004,0.269,0.122,0.491,0.304,0.024
Gm8492,0.521,1.0,0.088,0.357,0.815,0.047,0.621,1.0,0.128,1.0,1.0,0.192,,0.394,0.053,,0.073,0.395,0.065,0.2,,0.256
Lrrc47,0.24,1.0,0.043,0.122,0.852,0.016,0.298,1.0,0.06,0.016,0.771,0.0,0.615,0.458,0.121,0.984,0.434,0.166,0.189,0.038,0.8,0.174
Gm8730,0.957,0.0,0.0,0.682,0.0,0.0,0.557,0.0,0.0,1.0,0.0,0.0,0.0,0.558,0.0,0.0,0.74,0.47,0.017,0.96,0.001,0.107
Dnajc7,0.0,0.984,0.0,0.0,0.73,0.0,0.0,1.0,0.001,0.0,0.753,0.0,0.48,0.0,0.0,0.842,0.0,0.0,0.0,0.0,0.708,0.0
Got1l1,,,,,,,,,,1.0,,,,,,,,,,,,
Ormdl2,0.004,0.865,0.0,0.0,0.93,0.0,0.0,1.0,0.0,0.0,0.914,0.0,0.157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.976,0.0
Cep85l,0.542,1.0,0.076,0.028,0.726,0.267,0.0,1.0,0.013,0.001,0.407,0.019,0.441,0.003,0.061,0.817,0.049,0.009,0.004,0.888,0.672,0.336
Olfr1012,0.324,1.0,0.094,0.795,0.986,0.403,0.96,0.939,0.659,1.0,1.0,0.583,,0.773,0.364,0.944,0.033,0.346,0.075,0.605,0.999,0.596
St8sia2,,,,,,,,,,1.0,,,,,,,,,,,,
C1galt1c1,0.501,0.741,0.84,0.0,0.814,0.0,0.0,1.0,0.0,0.0,0.973,0.0,0.728,0.0,0.0,0.944,0.18,0.001,0.0,0.0,0.898,0.0
Gm45930,,,,,,0.435,,,,1.0,,0.538,,,0.452,,0.612,0.375,,,,
Tamm41,0.344,0.295,0.298,0.694,0.912,0.004,0.607,1.0,0.109,1.0,0.988,0.005,0.054,0.632,0.101,0.944,0.0,0.031,0.052,0.003,0.136,0.215
Pde8a,0.99,0.211,0.503,0.558,0.173,0.133,0.941,0.647,0.37,1.0,0.435,0.267,0.531,0.843,0.614,0.027,0.0,0.338,0.449,0.456,0.322,0.009
Gal3st2,,,,,,,,,,0.26,,,,,,,,,,,,
Dach2,0.797,1.0,0.484,0.756,0.988,0.955,0.811,1.0,0.488,1.0,0.946,0.502,,0.939,0.781,,0.163,0.891,0.955,0.865,,0.897
Trim66,0.991,1.0,0.936,0.214,1.0,0.245,0.484,1.0,0.521,1.0,0.989,0.993,,0.374,0.399,,0.444,0.248,0.959,0.91,,0.187
Olfr326-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Snrpa1,0.774,1.0,0.002,0.042,0.813,0.0,0.363,1.0,0.0,0.075,0.969,0.0,0.032,0.205,0.0,0.917,0.0,0.0,0.0,0.0,0.521,0.0
Gfy,,,,,,,,,,1.0,,,,,,,,,,,,
Sirpb1b,0.331,1.0,0.722,0.0,0.972,0.0,0.011,1.0,0.048,0.0,0.934,0.0,,0.002,0.008,0.97,0.729,0.0,0.008,0.0,0.471,0.002
Phf2,0.04,1.0,0.029,0.419,0.938,0.347,0.23,1.0,0.17,0.491,0.925,0.207,0.959,0.513,0.416,0.882,0.003,0.654,0.464,0.567,0.889,0.826
Limk2,0.0,0.636,0.001,0.002,0.953,0.0,0.03,1.0,0.0,0.0,0.964,0.0,0.145,0.009,0.0,0.977,0.0,0.0,0.0,0.0,0.683,0.0
Gm43125,,,,,,,,,,1.0,,,,,,,,,,,,
Gm18863,,,,,,,,,,1.0,,,,,,,,,,,,
Arhgef4,0.0,1.0,0.0,0.198,0.627,0.005,0.379,1.0,0.018,0.096,0.625,0.0,0.307,0.163,0.003,0.525,0.0,0.323,0.025,0.113,0.88,0.256
Zfp606,0.12,1.0,0.222,0.037,0.908,0.075,0.0,0.739,0.001,0.088,0.957,0.088,0.855,0.252,0.377,0.628,0.272,0.013,0.19,0.239,0.623,0.022
Pccb,0.089,1.0,0.007,0.006,0.979,0.0,0.061,1.0,0.004,0.2,0.973,0.009,0.542,0.032,0.001,0.993,0.004,0.0,0.0,0.003,0.978,0.002
Stat2,1.0,1.0,0.143,0.333,0.818,0.006,0.379,1.0,0.008,0.188,0.8,0.0,0.207,0.635,0.029,0.989,0.058,0.117,0.031,0.033,0.979,0.042
Gtf2h3,0.054,1.0,0.806,0.116,0.71,0.0,0.079,1.0,0.0,0.012,0.672,0.0,0.051,0.018,0.0,0.281,0.277,0.01,0.0,0.0,0.655,0.007
Gm12012,,,,,,,,,,1.0,,,,,,,,,,,,
Ppif,0.811,0.92,0.236,0.044,0.804,0.0,0.795,1.0,0.208,0.417,0.996,0.002,0.173,0.259,0.002,0.871,0.006,0.007,0.025,0.002,0.784,0.022
Gm49337,,,,,,,,,,1.0,,,,,,,,,,,,
Gm15515,0.35,1.0,0.044,0.131,0.333,0.563,0.459,1.0,0.969,0.42,0.444,0.75,,0.148,0.582,0.433,0.458,0.126,0.635,0.113,0.847,0.305
Gadd45a,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,0.008,0.479,0.02,0.74,0.001,0.004,0.945,0.0,0.0,0.0,0.0,0.433,0.001
Gm28048,0.735,1.0,0.043,0.002,0.77,0.0,0.025,1.0,0.0,0.159,0.877,0.0,0.034,0.004,0.0,0.963,0.003,0.0,0.0,0.0,0.198,0.0
Rpl23a,0.695,1.0,0.053,0.0,0.909,0.012,0.0,0.992,0.003,0.0,0.855,0.026,0.035,0.0,0.002,0.716,0.046,0.075,0.06,0.256,0.468,0.071
Tmem171,0.308,1.0,0.63,0.0,0.989,0.0,0.0,1.0,0.0,0.0,0.932,0.0,0.713,0.0,0.0,0.896,0.579,0.0,0.0,0.0,0.916,0.0
Gm45690,,,,,,,,,,,,,,,,,,,,,,
Tmem159,0.043,1.0,0.211,0.0,0.989,0.001,0.0,1.0,0.0,0.0,0.897,0.0,,0.0,0.0,0.587,0.084,0.001,0.0,0.002,0.787,0.015
Rab5if,0.039,0.875,0.737,0.985,0.946,0.008,0.451,1.0,0.106,1.0,0.947,0.003,0.033,0.716,0.038,0.901,0.056,0.032,0.009,0.017,0.568,0.147
Vmn2r-ps19,,,,,,,,,,1.0,,,,,,,,,,,,
Ints2,0.0,1.0,0.0,0.017,0.937,0.266,0.018,1.0,0.26,0.029,0.972,0.239,0.373,0.358,0.936,0.641,0.0,0.108,0.248,0.411,0.925,0.288
Scp2d1,,,,,,,,,,1.0,,,,,,,,,,,,
Ighv1-5,,,,,,,,,,1.0,,,,,,,,,,,,
Rpl9-ps1,,,,,,,,,,0.815,,,,,,,,,,,,
Gm48736,,,,,,,,,,1.0,,,,,,,,,,,,
Marveld3,,,,,,,,,,0.317,,,,,,,,,,,,
Gm7614,0.404,,0.336,,,0.294,,,0.673,1.0,,0.632,,0.756,0.656,,0.318,0.87,0.454,,,0.669
Vamp3,0.0,1.0,0.0,0.001,0.862,0.0,0.0,1.0,0.0,0.004,0.713,0.0,0.782,0.0,0.0,0.708,0.0,0.004,0.0,0.049,0.507,0.002
Olfr442-ps1,,,,,,,,,,,,,,,,,,,,,,
Ick,0.072,1.0,0.134,0.0,0.908,0.001,0.021,1.0,0.038,0.792,0.782,0.605,0.875,0.181,0.267,0.977,0.618,0.009,0.259,0.074,0.877,0.201
Gm38149,,,,,,,,,,1.0,,,,,,,,,,,,
Gna15,0.0,0.594,0.248,0.0,0.866,0.0,0.0,1.0,0.0,0.0,0.849,0.0,0.008,0.0,0.0,0.878,0.001,0.0,0.0,0.0,0.958,0.0
Spic,0.43,0.981,0.005,0.0,0.968,0.0,0.0,0.963,0.0,0.012,0.981,0.0,0.145,0.321,0.003,0.521,0.155,0.0,0.0,0.0,0.943,0.0
Mad1l1,0.962,1.0,0.601,0.0,0.818,0.001,0.081,1.0,0.329,0.009,0.95,0.044,0.588,0.006,0.05,0.913,0.999,0.038,0.696,0.15,0.988,0.165
Tdpoz4,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11422,,,,,,,,,,1.0,,,,,,,,,,,,
Adam19,0.904,1.0,0.001,0.0,0.972,0.005,0.0,1.0,0.0,0.0,0.982,0.0,0.009,0.0,0.0,0.627,0.0,0.002,0.0,0.0,0.252,0.005
Gm46338,,,,,,,,,,,,,,,,,,,,,,
Hrct1,,,,,,,,,,1.0,,,,,,,,,,,,
Rab3gap1,0.004,1.0,0.0,0.0,0.943,0.0,0.024,1.0,0.001,0.001,0.909,0.0,0.574,0.0,0.0,0.985,0.001,0.0,0.0,0.0,0.609,0.0
Olfr52,,,,,,0.192,,,,1.0,,0.724,,,0.492,,0.659,0.651,,,,
Ccl7,,,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,
D630039A03Rik,0.0,1.0,0.0,0.962,0.978,0.122,0.0,0.71,0.0,0.029,0.834,0.0,,0.001,0.0,0.027,0.0,0.186,0.0,0.002,0.412,0.139
Trim41,0.942,1.0,0.524,0.416,0.99,0.824,0.525,1.0,0.931,0.889,0.973,0.929,0.662,0.306,0.666,0.983,0.373,0.778,0.912,0.895,0.58,0.575
Gm47395,,,,,,,,,,1.0,,,,,,,,,,,,
Gm18340,,,,,,,,,,1.0,,,,,,,,,,,,
Gm7207,,,,,,,,,,1.0,,,,,,,,,,,,
Gm13724,,,,,,,,,,1.0,,,,,,,,,,,,
Gm3756,0.64,0.972,0.306,0.503,0.777,0.008,0.987,0.975,0.085,1.0,0.95,0.017,,0.884,0.045,0.831,0.973,0.208,0.583,0.071,0.782,0.264
Gm7535,,,,,,,,,,1.0,,,,,,,,,,,,
Gm15094,,,,,,,,,,1.0,,,,,,,,,,,,
Cd72,0.0,0.902,0.0,0.0,0.944,0.0,0.0,0.101,0.0,0.0,0.798,0.0,0.533,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.247,0.0
Med13l,0.002,1.0,0.0,0.312,0.813,0.001,0.844,0.941,0.026,0.386,0.991,0.0,0.107,0.248,0.001,0.519,0.0,0.046,0.0,0.0,0.141,0.121
Rnf180,,,,,,,,,,1.0,,,,,,,,,,,,
Gm13730,,,,,,,,,,1.0,,,,,,,,,,,,
Evc2,0.961,,0.194,,,0.16,,,0.16,1.0,,0.203,,0.919,0.16,,0.241,0.166,0.158,,,0.168
Gm13160,0.087,1.0,0.203,0.0,0.994,0.0,0.0,1.0,0.0,0.0,0.909,0.0,,0.0,0.0,0.93,0.515,0.0,0.0,0.001,0.971,0.001
Gm8768,,,,,,,,,,1.0,,,,,,,,,,,,
Col13a1,,,,,,,,,,1.0,,,,,,,,,,,,
Bsnd,,,,,,,,,,1.0,,,,,,,,,,,,
Pla2g15,0.011,1.0,0.406,0.014,0.95,0.403,0.006,1.0,0.252,0.08,0.892,0.631,,0.056,0.698,0.938,0.331,0.221,0.696,0.846,0.908,0.961
Gm6013,,,,,,,,,,1.0,,,,,,,,,,,,
Agrp,0.274,1.0,0.232,0.528,0.983,0.471,0.881,1.0,0.825,1.0,0.926,0.733,,0.57,0.584,0.475,0.574,0.574,0.88,0.867,0.491,0.343
Scgb1b4-ps,,,,,,,,,,1.0,,,,,,,,,,,,
Nab2,0.955,1.0,0.703,0.033,0.825,0.147,0.075,0.687,0.252,0.021,0.893,0.061,0.668,0.255,0.582,0.222,0.806,0.012,0.002,0.005,0.95,0.003
Gm6468,,,,,,,,,,1.0,,,,,,,,,,,,
Hpf1,0.531,1.0,0.0,0.0,0.977,0.0,0.001,1.0,0.0,0.0,0.988,0.0,0.009,0.0,0.0,0.953,0.0,0.0,0.0,0.0,0.519,0.0
Tm9sf1,0.283,1.0,0.013,0.046,0.958,0.469,0.047,0.927,0.46,0.958,0.997,0.652,0.356,0.358,0.908,0.918,0.001,0.709,0.694,0.646,0.591,0.822
Plekhg4,0.063,1.0,0.17,0.836,0.967,0.545,0.404,1.0,0.187,1.0,0.987,0.537,,0.651,0.361,,0.328,0.389,0.217,0.671,,0.457
Lamp5,,,,,,,,,,0.989,,,,,,,,,,,,
Gm7722,0.756,,0.706,0.719,,0.672,,,0.416,0.447,,0.206,,0.714,0.648,,0.836,0.695,0.429,0.636,,0.764
Dnajb11,0.368,1.0,0.227,0.0,0.904,0.0,0.0,1.0,0.0,0.0,0.996,0.0,0.875,0.0,0.0,0.993,0.188,0.0,0.0,0.0,0.851,0.0
Gm17069,,,,,,,,,,,,,,,,,,,,,,
H1fx,0.551,0.993,0.26,0.005,,0.001,0.111,0.996,0.028,0.044,,0.004,,0.44,0.183,,1.0,0.018,0.257,0.028,,0.136
Cystm1,0.0,0.959,0.0,0.001,0.982,0.077,0.005,0.524,0.228,0.0,0.964,0.002,,0.089,0.868,1.0,0.0,0.052,0.001,0.008,0.074,0.898
Fndc3b,0.0,1.0,0.002,0.0,0.917,0.009,0.046,1.0,0.393,0.001,0.838,0.018,,0.826,0.454,0.792,0.003,0.05,0.831,0.231,0.457,0.97
Gm15195,,,,,,,,,,1.0,,,,,,,,,,,,
1700093K21Rik,0.013,1.0,0.011,0.002,0.556,0.001,0.003,1.0,0.002,0.0,0.739,0.0,,0.001,0.001,,0.017,0.227,0.0,0.024,,0.0
Gm11871,,,,,,,,,,,,,,,,,,,,,,
Gm9129,,,,,,,,,,1.0,,,,,,,,,,,,
Rxrg,0.705,,0.579,,,0.229,,,0.208,0.96,,0.445,,0.088,0.05,,0.542,0.551,0.213,,,0.054
Gm14845,0.341,1.0,0.003,0.092,0.993,0.0,0.116,1.0,0.0,0.352,0.978,0.001,0.161,0.262,0.002,0.952,0.0,0.0,0.008,0.003,0.866,0.001
Il25,,,,,,,,,,1.0,,,,,,,,,,,,
Aldh4a1,0.287,1.0,0.098,0.114,0.843,0.029,0.307,1.0,0.105,0.193,0.997,0.025,0.745,0.502,0.215,0.911,0.004,0.249,0.028,0.027,0.899,0.082
Il5,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1264,0.986,1.0,0.754,0.612,,0.307,0.592,1.0,0.283,1.0,,0.636,,0.45,0.187,,0.809,0.414,0.084,0.293,,0.321
Adamts18,0.471,,0.287,0.114,,0.05,0.387,,0.216,0.038,,0.006,,0.057,0.02,,0.338,0.2,0.132,0.461,,0.097
Srp9,0.019,1.0,0.681,0.104,0.856,0.271,0.018,0.977,0.68,0.059,0.94,0.543,0.018,0.022,0.633,0.683,0.474,0.045,0.123,0.257,0.661,0.091
Gm15159,,,,,,,,,,1.0,,,,,,,,,,,,
Gm21924,,,,,,,,,,,,,,,,,,,,,,
Gm7928,,,,,,,,,,1.0,,,,,,,,,,,,
Letm1,0.002,1.0,0.014,0.391,0.928,0.157,0.223,1.0,0.068,0.599,0.999,0.12,0.743,0.667,0.329,0.75,0.207,0.404,0.081,0.127,0.84,0.042
Spert,,,,,,,,,,1.0,,,,,,,,,,,,
Gna12,0.079,1.0,0.214,0.672,0.958,0.971,0.72,1.0,1.0,0.674,0.904,0.64,0.77,0.09,0.207,0.685,0.223,0.823,0.601,0.869,0.877,0.927
Gm14754,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr723,,,,,,,,,,,,,,,,,,,,,,
Gm8163,,,,,,,,,,1.0,,,,,,,,,,,,
Esrrg,0.797,,0.909,0.871,,0.483,0.55,,0.22,0.937,,0.224,,0.907,0.738,,0.417,0.212,0.371,0.521,,0.215
Gm9135,,,,,,,,,,0.67,,,,,,,,,,,,
Gm42964,,,,,,,,,,1.0,,,,,,,,,,,,
Lrrc40,0.0,1.0,0.0,0.0,0.998,0.0,0.017,1.0,0.023,0.001,0.936,0.001,0.938,0.058,0.073,0.724,0.0,0.0,0.007,0.005,0.949,0.003
Ankk1,,,,,,,,,,1.0,,,,,,,,,,,,
Nsmce2,0.281,0.991,0.323,0.0,0.893,0.0,0.005,1.0,0.0,0.001,0.911,0.0,0.047,0.002,0.0,1.0,0.019,0.0,0.0,0.0,0.739,0.0
Sh2b3,0.484,0.989,0.219,0.0,0.989,0.0,0.0,1.0,0.0,0.0,0.967,0.0,0.756,0.0,0.0,0.91,0.009,0.0,0.0,0.0,0.558,0.0
Pak6,0.0,1.0,0.002,0.0,0.952,0.157,0.0,1.0,0.009,0.0,0.911,0.038,,0.0,0.63,0.975,0.014,0.318,0.019,0.189,0.546,0.773
Gm18642,,,,,,,,,,1.0,,,,,,,,,,,,
Pde4a,0.002,1.0,0.003,0.0,0.951,0.0,0.0,0.826,0.0,0.0,0.995,0.0,0.881,0.0,0.0,1.0,0.009,0.0,0.0,0.0,0.763,0.0
Prrc2c,0.297,1.0,0.0,0.003,0.97,0.0,0.201,1.0,0.0,0.395,0.989,0.0,0.032,0.076,0.0,0.98,0.0,0.0,0.0,0.0,0.919,0.0
Gm12379,,,,,,,,,,,,,,,,,,,,,,
B2m,0.0,0.8,0.129,0.752,0.962,0.002,0.329,1.0,0.0,1.0,0.909,0.002,0.032,0.54,0.0,0.712,0.999,0.007,0.0,0.025,0.003,0.0
Gm14322,0.074,1.0,0.415,0.677,,0.765,1.0,0.887,0.431,0.841,,0.964,,1.0,0.423,,0.411,0.449,0.666,0.994,,0.448
Csad,0.473,1.0,0.261,0.021,0.931,0.005,0.011,1.0,0.003,0.0,0.779,0.0,0.824,0.003,0.001,0.833,0.073,0.029,0.003,0.004,0.919,0.011
Tcrg-C1,0.138,1.0,0.264,0.681,0.991,0.452,0.405,1.0,0.217,1.0,0.93,0.572,,0.975,0.739,0.74,0.68,0.509,0.025,0.249,0.95,0.175
Nap1l4,0.0,1.0,0.0,0.022,0.983,0.002,0.448,1.0,0.123,0.781,0.837,0.124,0.626,0.753,0.822,0.244,0.0,0.003,0.05,0.007,0.954,0.013
Olig1,,,,,,,,,,1.0,,,,,,,,,,,,
Zc3h18,0.001,1.0,0.081,0.812,0.473,0.085,1.0,0.987,0.162,1.0,0.845,0.115,0.247,0.775,0.328,0.877,0.425,0.891,0.727,0.615,0.945,0.732
Glp1r,,,,,,,,,,1.0,,,,,,,,,,,,
Gm13885,,,,,,,,,,1.0,,,,,,,,,,,,
Tnxb,,,,,,,,,,1.0,,,,,,,,,,,,
Gm37104,,,,,,,,,,,,,,,,,,,,,,
Gm3115,,,,,,,,,,1.0,,,,,,,,,,,,
Hapln1,,,,,,0.794,,,,1.0,,,,,,,,,,,,
Cct8l1,,,,,,,,,,1.0,,,,,,,,,,,,
Smco3,,,,,,,,,,1.0,,,,,,,,,,,,
Gm4866,,,,,,0.555,,,,0.917,,,,,,,,,,,,
Ly6g,0.065,1.0,0.453,0.0,0.972,0.0,0.0,1.0,0.0,0.0,0.775,0.0,0.437,0.0,0.0,0.941,0.352,0.0,0.0,0.0,0.998,0.0
1700013H16Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Iqcf3,,,,,,,,,,1.0,,,,,,,,,,,,
Nsa2,0.106,1.0,0.779,0.0,0.98,0.022,0.0,1.0,0.005,0.0,0.995,0.046,0.079,0.0,0.007,0.82,0.72,0.039,0.062,0.037,0.899,0.078
Ears2,0.658,1.0,0.84,0.0,0.824,0.0,0.0,1.0,0.0,0.0,0.795,0.0,0.86,0.0,0.0,0.621,0.811,0.009,0.0,0.007,0.207,0.0
Trmt1l,0.965,1.0,0.294,0.789,0.957,0.174,0.223,1.0,0.845,1.0,0.973,0.353,0.411,0.79,0.522,0.944,0.622,0.334,0.637,0.223,0.355,0.769
Nostrin,0.262,1.0,0.31,0.0,0.946,0.0,0.001,1.0,0.001,0.0,0.93,0.0,,0.001,0.0,0.977,0.824,0.0,0.0,0.001,0.949,0.001
Th,,,,,,,,,,1.0,,,,,,,,,,,,
Serpina11,,,,,,,,,,1.0,,,,,,,,,,,,
Fate1,,,,,,,,,,1.0,,,,,,,,,,,,
Rpe,0.229,1.0,0.0,0.0,0.991,0.0,0.0,1.0,0.0,0.0,0.915,0.0,0.053,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.996,0.0
Gm17085,,,,,,,,,,1.0,,,,,,,,,,,,
Prdm6,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28646,,,,,,,,,,,,,,,,,,,,,,
Gm13698,,,,,,,,,,1.0,,,,,,,,,,,,
