gene_name,WT_0h_rep1,WT_0h_rep2,WT_0h_rep3,KO_0h_rep1,KO_0h_rep2,KO_0h_rep3,WT_6h_rep1,WT_6h_rep2,WT_6h_rep3,KO_6h_rep1,KO_6h_rep2,WT_24h_rep1,WT_24h_rep2,WT_24h_rep3,KO_24h_rep1,KO_24h_rep2,KO_24h_rep3,WT_48h_rep1,WT_48h_rep2,WT_48h_rep3,KO_48h_rep1,KO_48h_rep2,KO_48h_rep3
Ubxn6,106.959,125.21,159.22,103.262,104.778,177.385,58.8,87.391,98.255,68.348,86.161,56.502,38.788,42.491,46.272,40.658,34.176,42.314,34.561,34.592,51.847,53.544,66.855
Hdgfl2,53.448,120.345,81.177,46.471,85.838,75.484,94.714,122.089,130.885,122.841,118.324,154.442,160.325,130.598,124.459,140.479,147.187,104.251,88.021,119.067,87.286,98.936,131.648
Plin4,0.366,0.0,0.0,0.239,0.833,0.0,0.718,0.473,0.619,0.922,0.0,0.0,0.0,0.0,1.909,0.0,0.417,0.733,0.275,0.0,0.296,0.0,0.0
Plin5,0.563,0.0,0.0,1.103,0.0,0.0,1.47,0.0,0.0,0.708,1.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908,0.957,0.0
Lrg1,0.726,0.0,0.0,0.0,0.0,0.0,0.949,0.0,0.0,0.914,6.3,0.0,0.0,0.0,2.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sema6b,0.293,1.114,0.459,1.405,0.889,1.436,0.638,0.505,0.165,1.599,4.24,3.938,2.936,3.089,4.077,1.553,4.676,15.658,7.04,7.897,8.994,6.982,7.801
Tnfaip8l1,24.552,69.5,32.232,17.283,58.499,33.927,7.68,10.637,11.182,16.092,7.65,17.765,15.205,9.71,28.606,15.825,28.791,31.49,16.76,24.372,53.378,42.239,49.011
Mydgf,67.284,76.409,78.216,76.832,76.963,92.228,124.796,197.32,180.011,143.595,138.72,142.833,123.258,116.166,113.307,108.898,99.167,61.56,67.181,83.343,41.964,49.122,54.103
Dpp9,31.99,89.452,48.695,27.421,72.259,39.075,69.056,101.828,109.921,72.153,69.358,93.823,99.005,88.086,82.084,80.776,78.357,60.877,45.144,62.062,47.376,50.18,62.215
Fem1a,76.68,152.646,103.369,100.158,121.313,136.4,116.345,230.837,175.75,124.572,191.54,232.616,172.209,203.095,175.036,147.136,144.098,119.718,114.65,133.435,70.077,94.922,113.133
Ticam1,16.497,43.763,21.588,13.578,46.76,27.972,63.158,87.59,75.633,60.845,74.476,63.717,49.008,52.566,81.663,49.45,45.286,27.143,37.289,45.148,24.798,34.577,37.991
Plin3,5.699,18.102,6.179,5.583,11.712,4.828,3.149,1.982,3.52,4.688,3.327,12.44,16.454,15.421,13.709,15.472,16.721,20.403,24.495,23.293,25.467,27.202,26.231
Arrdc5,0.273,0.0,0.0,0.714,0.0,0.0,1.071,0.706,0.0,1.375,0.0,0.0,0.0,0.0,2.849,0.0,1.245,0.0,0.82,0.581,0.882,0.0,0.779
Uhrf1,3.682,12.869,6.683,5.575,7.421,18.083,14.754,20.974,17.822,14.213,14.515,439.706,503.663,426.063,322.167,463.387,398.077,374.562,282.182,352.859,244.551,277.983,297.811
Kdm4b,77.949,236.936,146.769,93.953,194.971,157.723,98.183,133.916,114.079,113.272,108.604,67.413,60.911,58.736,64.657,51.873,53.531,109.991,83.377,89.23,102.031,94.494,99.533
Ptprs,11.933,26.332,19.265,13.282,18.628,24.041,369.9,484.782,442.198,377.53,331.382,327.092,395.941,251.151,365.762,384.393,293.339,142.274,119.178,123.396,120.173,110.035,127.077
Znrf4,0.0,0.0,0.0,3.726,0.0,0.0,1.863,0.0,0.0,0.0,6.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.064
Gm20219,117.492,237.609,227.543,121.587,165.194,236.963,65.972,82.13,121.843,87.835,81.221,33.253,47.342,26.079,33.527,20.032,28.435,19.315,17.879,25.333,32.057,49.212,27.494
Safb2,342.422,449.628,622.816,360.854,391.161,720.171,319.366,444.885,490.271,374.362,353.781,385.59,453.349,398.618,304.83,393.588,387.841,287.167,262.66,302.307,244.863,265.377,309.007
Safb,270.691,304.516,467.151,286.164,270.13,539.492,223.992,291.433,360.279,247.156,210.045,245.474,284.401,260.245,209.284,258.808,240.614,192.504,169.659,193.281,171.401,188.379,207.706
Micos13,43.66,70.456,41.022,54.176,62.873,83.962,75.074,90.251,75.027,101.62,56.796,85.262,104.393,89.853,80.908,89.885,62.967,55.352,57.85,49.489,36.401,51.957,45.614
Rpl36,7.721,6.095,6.393,7.638,6.553,6.25,4.899,4.485,4.816,5.829,4.207,5.818,5.465,6.006,6.055,5.756,5.847,8.155,6.973,7.421,8.036,7.58,6.847
Lonp1,117.68,193.901,220.805,122.374,172.187,239.291,467.18,892.482,900.084,455.971,764.853,345.015,398.432,331.776,216.554,330.651,271.333,280.108,328.516,303.091,160.266,198.009,219.975
Catsperd,0.976,1.059,1.165,1.032,0.423,2.925,2.307,2.762,2.278,3.45,4.837,1.191,0.31,1.201,0.808,1.64,0.741,3.257,3.556,2.964,1.65,1.738,2.649
Ranbp3,96.443,174.549,162.93,97.908,156.748,186.198,226.021,285.983,284.291,254.503,206.528,226.04,236.156,228.372,188.542,205.154,233.522,156.381,122.785,152.211,128.33,128.999,146.6
Vmac,12.803,35.283,13.581,10.249,20.659,32.924,12.944,9.604,12.565,10.911,16.117,6.049,6.889,7.116,21.524,5.83,7.523,14.054,13.009,7.9,8.664,18.956,20.004
Ndufa11,42.823,83.498,80.955,51.399,61.404,91.458,54.413,87.723,88.033,74.748,80.299,43.792,68.218,44.314,45.576,47.655,58.86,30.891,46.875,51.656,28.637,48.534,50.566
Nrtn,0.272,0.0,0.0,1.066,0.618,0.571,1.776,1.405,1.379,1.369,1.179,0.996,1.815,0.0,2.835,0.48,0.0,1.633,3.671,2.89,0.878,0.462,2.325
Dus3l,194.977,545.759,406.582,186.326,384.219,464.283,280.746,506.384,558.285,242.788,498.608,516.227,596.017,453.664,367.106,418.756,411.356,164.793,178.981,216.047,154.356,189.814,234.566
Prr22,16.348,49.142,46.934,20.167,39.236,30.486,46.257,61.015,59.87,45.706,157.53,146.324,163.625,106.931,63.114,110.584,88.93,47.269,27.247,50.186,30.777,23.16,46.58
Rfx2,11.267,19.182,11.555,14.837,25.966,9.057,3.718,3.639,2.277,8.474,6.904,3.924,3.371,3.605,7.766,4.268,5.787,8.58,4.317,5.791,18.23,15.094,17.447
Acsbg2,0.7,0.613,0.927,0.984,0.245,0.452,1.547,0.0,0.273,1.49,1.401,0.789,0.18,0.0,0.935,0.475,0.368,0.431,0.323,0.343,0.521,0.366,0.0
Acsbg3,0.628,0.358,0.394,0.657,0.857,0.0,1.313,0.0,0.212,0.474,1.09,1.841,0.0,0.361,1.31,0.222,0.0,0.252,0.0,0.0,0.811,0.641,0.358
Mllt1,27.951,81.507,38.214,32.595,70.097,36.308,156.359,205.87,176.651,156.98,150.092,169.614,169.802,165.737,132.048,152.63,148.394,92.253,87.993,97.862,74.685,83.306,93.458
Acer1,0.53,0.168,0.461,0.462,0.402,0.124,1.154,0.457,0.199,0.667,1.278,0.0,0.0,0.169,1.433,0.0,0.134,0.944,0.265,0.0,0.571,0.301,0.0
Clpp,36.428,57.996,45.816,46.833,45.654,60.176,138.975,234.948,226.901,192.347,185.326,149.141,174.17,159.796,112.621,175.132,157.415,42.49,74.865,72.545,41.195,64.855,71.104
Alkbh7,15.317,43.621,29.317,21.119,25.154,32.135,31.117,39.579,46.027,47.107,44.28,49.855,31.23,31.768,47.308,33.036,31.004,17.034,17.87,16.277,17.851,26.04,26.671
Pspn,3.008,8.566,32.973,11.787,0.0,18.931,3.928,0.0,5.084,3.784,0.0,22.028,10.036,0.0,0.0,5.308,0.0,6.021,0.0,19.179,4.854,0.0,8.571
Gtf2f1,138.713,165.203,222.92,137.007,153.32,239.364,94.211,148.789,161.012,104.765,123.455,126.195,120.697,108.804,108.593,105.013,111.14,77.56,106.605,85.986,101.21,97.529,101.25
Gm17949,1.575,1.495,0.274,3.428,5.172,0.367,2.971,2.261,2.07,3.742,1.517,2.563,1.168,1.507,3.648,2.779,2.391,2.102,2.362,2.603,4.8,4.462,5.983
Khsrp,150.197,245.072,272.05,157.453,197.139,334.372,268.97,435.983,525.998,299.467,360.587,433.718,448.415,393.826,341.571,398.418,398.537,260.337,270.262,262.018,199.72,255.888,282.399
Slc25a41,0.57,0.541,0.0,1.241,0.0,0.0,1.489,0.0,0.0,0.956,0.0,2.087,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.307,0.969,1.083
Slc25a23,14.313,42.545,19.142,16.785,34.682,13.151,5.594,5.129,5.474,9.727,5.436,15.684,16.034,10.8,19.239,14.011,14.75,15.267,10.5,15.765,27.142,23.977,26.196
Crb3,0.495,1.411,0.388,1.294,1.126,1.039,2.264,2.56,0.0,2.181,0.0,1.814,0.0,0.711,5.164,0.437,1.692,1.487,0.743,0.526,4.796,1.684,1.411
Dennd1c,208.306,684.326,318.025,214.555,494.944,242.657,46.855,56.384,81.008,109.646,58.05,185.292,166.597,170.688,239.089,203.635,190.225,153.554,123.901,176.972,359.899,320.899,372.292
Tubb4a,3.499,6.851,1.712,3.142,6.464,1.835,1.999,3.956,1.479,3.302,5.69,1.602,3.648,3.14,6.839,5.017,3.984,5.253,8.529,5.578,6.352,7.808,7.478
Tnfsf9,5.551,5.928,3.26,3.625,3.155,4.367,23.56,78.886,50.431,106.501,147.428,17.785,34.724,33.873,31.341,112.645,83.741,9.723,36.428,25.069,23.513,73.134,69.196
Cd70,0.0,0.0,0.0,1.166,0.0,0.0,1.166,11.535,3.773,8.425,5.807,11.442,14.894,11.538,7.756,49.629,53.878,1.787,16.741,2.846,7.924,32.634,35.616
Tnfsf14,2.521,5.129,3.384,5.175,1.638,2.267,230.958,650.547,324.495,493.032,634.11,67.262,136.993,116.878,153.934,189.407,153.377,21.63,51.327,39.806,21.505,42.25,56.446
C3,0.628,0.199,0.219,0.912,0.635,0.146,1.459,0.361,0.354,0.791,1.514,1.534,4.892,2.406,2.184,5.175,2.067,0.559,0.524,1.187,0.676,0.712,0.597
Gpr108,25.854,81.724,43.522,25.665,59.667,37.153,31.907,38.412,50.036,40.171,35.874,47.806,49.597,40.462,51.204,54.29,52.102,39.332,43.435,50.826,41.093,51.863,64.825
Trip10,2.731,8.454,8.182,3.102,2.7,4.983,24.348,39.583,36.13,23.158,20.597,36.96,47.147,38.875,21.869,42.539,35.154,34.231,38.654,45.177,17.821,24.63,27.746
Vav1,149.603,249.454,132.096,162.029,227.558,112.215,132.591,131.794,160.477,188.175,109.016,192.32,207.22,204.998,184.534,197.235,207.715,183.632,134.034,167.625,199.06,180.517,188.175
Adgre1,1.298,0.616,0.529,1.183,0.676,0.652,1.624,0.908,0.297,1.378,1.641,0.445,0.271,0.466,0.986,0.692,0.493,0.676,0.466,0.316,1.047,0.552,0.809
Vmn2r120,0.519,0.0,0.203,0.677,0.197,0.091,1.016,0.558,0.146,1.087,1.124,0.0,0.0,0.0,0.901,0.229,0.295,0.173,0.065,0.459,0.418,0.147,0.123
Gm21834,0.0,0.0,0.0,4.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.473,0.0,0.0,0.0,0.0,0.0
Cntnap5c,0.55,0.285,0.351,0.781,0.353,0.215,1.83,0.299,0.227,0.948,1.199,0.241,0.123,0.166,0.714,0.153,0.138,0.374,0.178,0.157,0.493,0.125,0.113
Pdzph1,0.285,0.256,0.258,0.881,0.136,0.063,2.016,0.232,0.127,0.924,0.91,0.165,0.05,0.043,1.146,0.053,0.0,0.36,0.045,0.0,0.411,0.025,0.085
Nudt12,0.859,0.349,0.0,1.282,0.0,0.515,1.602,0.634,0.207,1.389,2.128,3.145,4.093,4.228,2.131,6.062,3.911,3.193,4.601,4.172,5.345,6.466,3.496
Efna5,0.304,0.121,0.286,0.811,0.138,0.141,1.312,0.362,0.278,0.935,1.267,0.357,0.122,0.175,0.656,0.247,0.208,3.571,3.772,2.976,0.531,0.093,0.087
Fbxl17,87.35,37.146,42.334,76.224,45.993,45.779,18.344,24.374,24.059,30.725,15.972,36.593,28.584,41.859,50.794,40.653,40.652,72.151,66.506,67.892,85.364,77.649,59.927
Fer,0.733,0.469,0.526,1.132,0.444,0.243,1.379,0.41,0.186,1.083,1.112,0.291,0.244,0.298,1.379,0.291,0.32,2.371,1.804,1.959,1.941,1.027,1.096
A930002H24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.903,0.0,0.0,0.0,11.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pja2,33.875,20.011,18.478,34.808,23.514,13.56,9.48,10.706,12.493,18.807,6.611,23.909,21.564,21.892,20.5,24.507,22.341,41.27,54.591,47.479,43.43,49.361,38.343
Man2a1,107.026,49.215,54.109,87.994,59.079,60.656,5.739,4.858,6.3,10.314,4.124,37.344,35.412,40.65,42.387,47.22,47.692,64.2,63.111,62.261,84.967,85.315,75.0
4930583I09Rik,0.951,0.0,0.0,0.621,0.0,0.0,0.621,1.229,0.0,0.598,4.125,0.0,0.0,0.0,1.653,0.0,0.0,0.0,0.0,0.0,0.767,0.0,0.0
Tmem232,0.93,0.439,0.501,1.006,0.741,0.46,1.819,0.704,0.451,1.245,1.567,0.369,0.474,0.459,1.276,0.324,0.418,0.676,0.729,0.693,0.966,0.594,0.507
Vapa,174.408,53.61,105.017,160.486,54.458,122.601,77.57,78.472,101.126,125.171,58.367,89.452,89.975,104.129,84.051,103.97,93.698,141.242,157.645,157.492,117.568,141.776,92.947
Txndc2,0.724,2.062,1.134,1.419,0.823,0.76,0.946,0.0,0.0,1.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.543,0.0,1.753,0.0,0.0
Rab31,4.49,2.502,3.384,4.808,3.424,3.247,2.913,2.702,2.05,3.087,2.358,2.297,1.954,1.882,3.391,2.214,2.699,4.745,3.807,4.089,5.175,4.314,4.052
Ppp4r1,49.669,39.43,38.467,39.81,42.537,36.205,50.385,56.713,69.681,67.533,33.163,60.692,67.062,70.54,50.974,63.365,60.21,95.328,77.916,82.842,79.14,72.017,68.615
Ralbp1,22.481,41.525,22.905,18.987,39.108,28.412,56.656,70.804,60.815,66.508,38.172,59.177,56.932,68.318,57.723,54.329,58.39,70.848,68.393,74.453,58.496,68.227,65.858
Twsg1,32.649,19.548,34.958,34.131,20.592,36.304,12.354,12.818,12.578,13.426,5.253,28.936,20.977,22.528,17.637,22.088,15.762,43.416,40.581,42.786,27.18,29.027,29.749
Ankrd12,103.786,64.203,103.233,114.011,81.716,108.835,34.271,42.164,38.798,62.542,29.17,39.889,30.127,45.162,50.275,43.286,45.094,82.829,73.158,71.518,124.69,110.783,95.407
Ndufv2,32.172,27.046,30.436,48.562,29.629,25.484,33.651,31.007,41.314,52.147,23.304,49.601,49.37,53.487,48.603,53.395,64.041,50.991,61.18,67.437,56.549,90.739,79.293
Washc1,46.152,105.144,97.937,48.718,80.096,106.703,22.387,23.85,26.746,29.388,17.154,44.834,33.309,36.243,50.399,37.895,40.322,39.217,32.213,39.635,51.372,45.475,57.431
Ddx11,31.742,34.38,35.136,33.0,36.288,42.377,32.532,28.76,60.322,51.049,16.343,75.904,96.078,82.02,77.143,107.558,131.02,86.529,82.596,86.612,102.348,95.812,130.548
Mtcl1,0.584,0.426,0.656,0.997,0.476,0.534,1.251,0.851,0.228,1.356,1.363,0.329,0.15,0.043,1.456,0.238,0.375,0.779,0.561,0.382,0.869,0.153,0.171
Rab12,92.012,68.032,100.076,96.409,88.25,113.995,48.764,59.827,57.12,70.72,40.624,67.628,66.531,86.281,65.336,81.833,78.02,91.759,112.624,113.066,83.255,112.511,101.055
Themis3,0.337,0.0,0.329,0.659,0.191,0.0,0.989,0.217,0.213,1.588,1.459,0.0,0.0,0.0,0.877,0.074,0.192,0.253,0.063,0.0,0.747,0.0,0.0
Ptprm,0.415,0.238,0.292,0.872,0.279,0.108,1.442,0.336,0.216,1.001,1.405,0.18,0.049,0.12,0.785,0.104,0.089,0.231,0.066,0.037,0.515,0.067,0.077
Lrrc30,0.959,0.0,0.0,2.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lama1,2.073,2.874,2.887,3.463,1.285,0.762,11.969,1.773,1.115,3.911,6.711,1.281,0.18,0.386,3.834,0.522,0.46,1.347,0.182,0.143,2.215,0.275,0.268
Arhgap28,0.345,0.208,0.262,0.765,0.143,0.11,0.833,0.324,0.141,0.908,1.133,0.191,0.209,0.21,0.69,0.074,0.095,0.146,0.047,0.044,0.59,0.053,0.03
L3mbtl4,0.597,0.266,0.324,0.863,0.281,0.175,1.52,0.396,0.248,1.074,1.128,0.171,0.122,0.105,0.718,0.147,0.19,0.421,0.105,0.135,0.646,0.204,0.095
Tmem200c,0.204,0.0,0.0,0.801,0.0,0.0,0.801,1.32,0.0,1.543,0.886,0.748,0.341,0.293,0.355,0.18,0.0,0.205,0.0,0.434,0.659,0.0,0.0
Epb41l3,0.197,0.224,0.259,0.895,0.179,0.182,1.481,0.305,0.213,0.882,1.093,0.086,0.079,0.068,0.958,0.069,0.09,0.11,0.13,0.017,0.432,0.027,0.045
Zbtb14,11.389,22.999,13.62,11.631,18.834,26.935,10.276,13.377,10.5,16.413,6.286,45.494,27.635,35.084,34.536,42.023,38.195,29.431,38.206,40.489,28.069,48.229,38.942
Akain1,1.014,0.096,0.741,0.883,0.692,0.567,1.413,0.524,0.343,1.021,1.466,0.124,0.113,0.0,1.527,0.06,0.077,0.677,0.254,0.0,0.928,0.057,0.0
Dlgap1,0.527,0.231,0.428,0.89,0.369,0.212,1.655,0.363,0.201,1.056,1.365,0.203,0.086,0.091,0.915,0.133,0.104,0.376,0.143,0.114,0.674,0.111,0.135
Tgif1,377.742,251.569,542.027,387.451,269.868,494.962,305.991,460.251,373.137,509.109,400.291,130.311,138.623,143.179,141.858,165.13,155.087,60.753,134.406,130.924,103.487,145.572,156.994
Myl12b,69.278,110.416,85.569,85.027,118.41,97.291,28.793,32.904,31.965,55.715,25.549,52.195,45.656,51.85,73.303,47.122,64.054,72.097,88.095,86.847,101.21,125.367,112.1
Gm49909,73.292,87.252,83.822,80.588,95.618,88.602,39.463,46.569,48.944,64.018,32.302,63.353,57.123,71.249,74.937,68.483,75.925,67.104,89.754,90.525,87.248,112.956,103.39
Myl12a,81.244,48.462,77.654,73.136,56.168,73.705,54.484,62.884,67.116,69.985,36.499,77.052,72.038,102.99,69.301,99.775,95.003,61.903,97.439,96.057,61.712,93.323,90.719
Myom1,1.25,0.89,1.404,1.597,1.081,0.94,0.958,0.597,0.413,1.35,1.473,0.647,0.725,0.78,1.369,1.39,0.804,0.789,0.815,1.184,1.271,0.947,0.658
Lpin2,36.672,29.662,37.089,51.127,51.652,47.978,9.046,6.909,9.728,16.277,5.19,22.194,20.647,25.815,29.643,26.784,32.708,74.124,55.62,56.561,76.396,80.095,65.597
Emilin2,0.625,0.162,0.534,1.039,0.452,0.238,1.039,0.587,0.336,0.965,1.972,0.416,0.19,0.163,1.284,0.401,0.388,25.028,12.702,13.77,1.101,0.435,0.324
Smchd1,322.317,90.232,257.701,366.007,145.231,389.743,29.422,29.589,38.668,51.642,21.305,76.543,85.446,84.803,68.421,112.917,102.075,187.155,174.811,168.282,194.735,194.415,149.77
Gm4707,699.53,1083.429,1297.239,1234.312,1241.755,1750.768,136.232,206.121,404.503,200.723,159.649,202.217,409.449,458.146,341.135,281.533,363.302,687.869,395.792,691.195,604.012,615.476,349.682
Ndc80,28.255,12.968,27.923,30.6,18.837,32.919,2.006,0.284,1.113,2.83,1.903,29.732,34.229,34.031,36.411,59.251,65.466,89.508,102.543,98.647,111.906,129.461,126.155
Spdya,0.27,0.385,0.423,0.529,0.205,0.0,1.529,0.233,0.152,0.567,2.148,0.0,0.0,0.0,0.782,0.159,0.103,0.811,0.338,0.191,0.436,0.383,0.385
Wdr43,221.73,98.258,197.381,216.141,133.245,222.163,293.196,324.774,428.541,382.663,181.167,323.439,373.013,375.319,228.354,396.519,345.369,268.521,304.726,300.972,174.986,211.418,154.713
Togaram2,0.538,1.022,0.75,0.664,0.544,0.377,1.641,0.85,0.303,1.167,2.854,0.11,0.2,0.086,0.832,0.106,0.136,1.018,1.571,0.699,0.965,0.509,0.511
Pcare,0.723,0.0,0.283,0.472,0.0,0.0,0.472,0.0,0.0,0.909,0.784,0.0,0.603,0.0,0.0,0.0,0.411,0.362,0.0,0.0,0.583,0.0,0.0
Clip4,0.458,0.15,0.386,0.828,0.401,0.148,1.242,0.364,0.179,0.798,2.215,0.322,0.235,0.152,0.857,0.311,0.08,0.282,0.317,0.187,0.568,0.21,0.151
Alk,0.443,0.281,0.338,0.882,0.245,0.125,1.388,0.356,0.256,1.086,1.205,0.185,0.146,0.198,0.997,0.154,0.152,0.382,0.131,0.132,0.63,0.133,0.124
Ypel5,338.134,144.081,275.151,285.87,202.229,311.703,20.779,18.042,16.446,35.715,19.358,14.67,13.366,12.491,24.261,16.967,17.985,60.263,54.773,52.305,76.84,69.082,60.664
Lbh,105.065,140.454,88.747,102.273,139.083,94.037,21.532,25.635,22.922,54.688,24.76,46.782,33.815,44.477,85.313,43.705,40.471,69.725,78.371,83.736,94.56,129.592,114.905
Lclat1,41.407,26.622,24.34,42.183,33.017,18.121,19.175,21.675,24.207,33.527,17.674,43.632,31.438,43.489,65.18,53.25,54.382,61.853,59.549,62.492,107.969,74.249,69.894
Capn13,0.345,0.104,0.142,0.641,0.289,0.191,1.401,0.423,0.154,1.029,0.709,0.333,0.243,0.261,1.011,0.16,0.166,0.291,0.055,0.0,0.851,0.062,0.363
Galnt14,0.381,0.199,0.243,0.873,0.247,0.196,1.278,0.401,0.197,1.075,0.707,0.114,0.233,0.089,1.539,0.672,1.008,0.233,0.175,0.132,1.078,0.555,0.642
Ehd3,126.437,113.909,105.301,100.772,99.255,100.932,5.984,9.28,7.535,15.814,9.129,14.964,11.775,12.98,32.702,20.76,37.787,24.418,22.662,26.056,71.04,76.0,81.509
Xdh,28.557,22.759,26.305,28.59,21.991,30.809,3.324,1.907,1.678,7.397,2.869,1.212,1.274,2.339,11.585,4.761,8.983,11.412,8.285,10.981,53.843,30.158,38.29
Srd5a2,0.327,0.621,0.256,0.57,0.372,0.114,1.495,0.141,0.276,1.509,0.236,0.0,0.182,0.157,1.704,0.289,0.124,0.436,0.245,0.232,0.704,0.371,0.466
Memo1,99.987,31.228,50.284,74.198,36.864,49.203,60.413,71.402,74.85,92.416,42.469,72.109,71.771,88.794,67.271,82.557,76.187,149.037,130.49,131.881,109.671,107.453,78.288
Dpy30,16.826,10.016,25.81,17.204,8.154,26.041,11.077,11.226,13.521,14.923,8.074,36.361,37.042,38.22,28.993,38.211,36.589,30.784,39.515,44.408,24.927,32.005,31.439
Spast,28.487,23.784,28.084,27.526,21.713,35.111,19.658,21.915,23.966,28.835,15.02,28.329,30.997,34.209,27.445,33.646,34.277,43.092,41.08,46.027,40.536,41.44,36.895
Slc30a6,9.79,10.245,9.79,10.785,11.532,9.774,17.021,18.286,21.233,23.743,12.531,24.186,27.743,32.347,22.131,33.094,28.874,27.271,29.016,30.333,26.076,34.289,28.567
Nlrc4,3.354,2.709,2.979,4.774,3.643,4.201,1.438,0.906,0.508,1.638,2.605,0.917,1.169,1.294,2.262,1.149,2.166,1.403,1.051,0.851,2.424,1.787,2.71
Yipf4,94.669,28.074,70.327,93.201,35.224,66.641,13.896,22.642,18.25,22.64,12.214,19.481,28.191,19.771,28.272,30.926,26.012,49.178,49.526,43.899,53.026,55.598,56.178
Birc6,184.689,69.889,129.106,153.795,100.842,123.316,55.175,69.192,88.178,85.51,38.078,111.251,139.091,124.175,88.923,158.497,128.694,194.694,175.447,156.558,194.853,186.862,137.849
Ttc27,43.553,21.385,28.52,41.547,28.282,27.722,52.526,63.712,67.533,65.843,40.34,44.147,40.187,50.073,42.777,48.126,45.636,49.938,41.517,47.339,39.341,41.191,29.705
Ltbp1,0.376,0.112,0.281,0.805,0.109,0.119,1.449,0.248,0.155,1.039,0.947,0.176,0.102,0.05,0.865,0.069,0.129,0.254,0.079,0.028,0.515,0.037,0.037
Rasgrp3,0.471,0.155,0.284,0.994,0.082,0.152,1.396,0.281,0.245,1.459,2.2,0.265,0.06,0.0,1.133,0.064,0.124,0.145,0.027,0.039,0.497,0.123,0.0
Fam98a,78.922,35.573,48.014,65.264,41.829,45.264,72.667,86.559,108.639,109.866,63.029,73.597,107.597,84.459,54.45,101.997,91.282,78.879,114.467,86.402,51.492,89.576,66.977
Crim1,72.965,40.195,51.594,72.907,44.821,56.05,35.866,35.457,60.153,42.847,18.382,96.777,71.099,102.36,38.802,39.8,49.137,234.883,175.075,204.818,73.579,96.55,79.643
Fez2,60.409,24.253,46.274,46.929,30.89,37.904,7.07,6.593,8.043,13.057,5.532,9.469,7.017,10.0,8.746,8.883,7.224,38.583,26.895,28.8,20.42,20.809,19.551
Vit,0.297,0.201,0.111,1.127,0.354,0.059,1.089,0.365,0.096,0.747,1.778,0.104,0.094,0.041,0.639,0.1,0.129,0.283,0.042,0.03,0.548,0.024,0.0
Strn,60.822,25.712,30.669,49.369,28.442,27.864,13.912,14.587,19.117,27.169,11.485,24.848,28.574,30.091,28.281,39.984,37.905,58.825,51.852,50.006,69.009,68.167,48.862
Heatr5b,25.509,15.975,17.184,25.029,22.623,16.493,8.449,9.575,11.108,15.557,5.859,16.642,17.485,17.108,18.993,22.037,21.864,32.047,28.682,28.934,38.321,37.762,33.133
Gpatch11,20.661,15.087,15.97,24.565,18.37,14.448,11.762,13.689,15.223,16.996,11.486,12.609,26.512,21.298,17.487,25.007,26.842,22.801,32.383,27.304,25.433,38.952,33.209
Eif2ak2,63.767,70.3,40.595,55.748,51.527,58.277,7.49,6.103,7.319,12.947,4.389,28.414,33.207,32.295,26.377,37.31,35.854,87.575,91.265,98.477,98.271,132.305,139.554
Sult6b1,0.659,0.834,0.344,0.478,0.0,0.154,1.338,0.189,0.247,0.737,0.317,0.0,0.733,0.0,0.0,0.0,0.167,0.293,0.659,0.311,0.472,0.124,0.0
Cebpzos,1.33,5.05,3.472,5.791,4.032,2.79,1.737,2.291,2.248,7.252,0.0,19.481,16.271,15.278,16.946,16.43,14.135,8.875,18.622,10.365,12.163,20.351,16.423
Cebpz,179.585,84.35,126.859,152.19,104.314,139.96,92.128,142.927,144.508,130.368,82.653,92.375,112.848,114.571,75.969,121.682,119.789,70.14,103.295,92.738,51.113,90.542,80.402
Ndufaf7,13.758,8.805,15.735,25.24,15.114,14.594,13.324,14.779,20.642,19.449,14.077,27.736,34.039,40.84,20.411,43.919,33.442,24.137,32.0,29.24,36.17,37.318,34.797
Prkd3,64.558,33.916,39.373,48.953,34.387,32.471,25.676,38.284,31.674,40.878,20.801,29.246,25.78,29.314,30.051,38.988,37.613,48.249,40.869,41.584,51.401,47.644,40.264
Qpct,3.816,4.372,3.228,3.208,2.693,2.577,1.432,1.247,0.667,0.717,1.141,0.803,1.171,0.756,1.067,0.851,1.298,0.878,0.461,0.093,1.982,0.969,0.75
Cdc42ep3,21.484,24.518,24.985,19.706,17.062,29.33,14.338,24.083,16.021,14.31,10.96,9.833,11.859,14.063,12.625,14.496,17.627,10.752,16.587,16.451,19.883,22.962,18.005
Rmdn2,4.15,1.832,1.787,3.09,2.359,2.263,2.764,2.305,2.736,4.02,3.509,2.431,1.938,1.847,2.884,3.002,3.071,2.492,2.023,2.161,3.783,3.633,2.424
