,ChIP
370,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
371,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
372,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
373,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
374,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
375,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8
376,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
377,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
378,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
379,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
380,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
381,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
382,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
383,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
384,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
385,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
386,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
387,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
388,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
389,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
390,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
391,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
392,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
393,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
394,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
395,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
396,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
397,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
398,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
399,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
400,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
401,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
402,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
403,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
404,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
405,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
