ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0357,0.0532,0.0346,0.0352,0.0476,0.0,0.0207,0.025,0.0593,0.0247,0.0682,0.0625,0.0,0.033,0.0317,0.0317,0.0441,0.023,0.0,0.0595,0.0268,0.0309,0.0303,0.0439,0.0225,0.0237,0.0241,0.0243,0.0382,0.0353,0.0833
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2678,0.3072,0.2754,0.2265,0.2069,0.2022,0.22,0.2769,0.2714,0.285,0.2844,0.3333,0.1538,0.2798,0.2682,0.2682,0.2151,0.2795,0.2,0.3099,0.3165,0.262,0.2752,0.2992,0.2834,0.2891,0.2768,0.2763,0.309,0.3073,0.2059
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2201,0.2786,0.2765,0.2385,0.217,0.1831,0.2021,0.2341,0.2513,0.2291,0.3146,0.2927,0.1667,0.2346,0.2223,0.2223,0.1741,0.2528,0.2727,0.3105,0.291,0.2732,0.2263,0.2474,0.249,0.2331,0.2465,0.2432,0.2805,0.3333,0.25
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.1166,0.1711,0.1571,0.1423,0.1026,0.1296,0.085,0.116,0.1812,0.1271,0.2289,0.2436,0.1111,0.1241,0.1159,0.1159,0.1242,0.1139,0.1707,0.2456,0.1188,0.1769,0.1157,0.1747,0.1106,0.1104,0.1151,0.1358,0.1661,0.2395,0.1379
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.0904,0.1577,0.1188,0.1272,0.125,0.0962,0.0881,0.0889,0.1827,0.1011,0.175,0.1139,0.1154,0.0933,0.0909,0.0909,0.1244,0.1022,0.1,0.195,0.0928,0.1277,0.09,0.141,0.087,0.0839,0.075,0.092,0.1267,0.1812,0.1154
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.189,0.2236,0.25,0.2045,0.1441,0.2239,0.1597,0.1953,0.2077,0.1823,0.2442,0.2716,0.1667,0.2058,0.19,0.19,0.1667,0.2297,0.1923,0.284,0.2437,0.2408,0.1961,0.2095,0.2107,0.1887,0.2018,0.2113,0.2362,0.2426,0.2308
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0647,0.1223,0.0855,0.123,0.0943,0.1081,0.0509,0.0626,0.1544,0.0593,0.1639,0.1525,0.2,0.0737,0.065,0.065,0.099,0.0739,0.1935,0.1491,0.1006,0.1333,0.0613,0.0926,0.0775,0.0571,0.0705,0.0721,0.0931,0.1724,0.05
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2533,0.2803,0.2808,0.2391,0.1812,0.18,0.2079,0.2626,0.2576,0.2625,0.2727,0.3,0.1395,0.2768,0.2554,0.2554,0.185,0.2773,0.2716,0.2727,0.3107,0.2886,0.2598,0.2828,0.2772,0.2701,0.2559,0.2651,0.2893,0.2764,0.1905
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.257,0.2757,0.2923,0.237,0.2185,0.2118,0.2256,0.2703,0.2548,0.2652,0.2793,0.2925,0.122,0.2864,0.2597,0.2597,0.1941,0.2854,0.3239,0.2838,0.3046,0.2851,0.264,0.2898,0.2858,0.2742,0.2619,0.2816,0.3023,0.2696,0.175
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2696,0.2794,0.2748,0.2532,0.2128,0.2039,0.2263,0.2825,0.251,0.2772,0.2687,0.3154,0.1136,0.2875,0.2725,0.2725,0.1978,0.2988,0.2584,0.2874,0.322,0.28,0.277,0.2947,0.3032,0.2973,0.281,0.2889,0.2965,0.2697,0.1778
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,0.027,0.0289,0.0256,0.0262,0.0108,0.0,0.0159,0.0229,0.0249,0.0229,0.0674,0.046,0.0,0.0257,0.0256,0.0256,0.0156,0.0232,0.0541,0.0288,0.0192,0.0278,0.0256,0.0237,0.017,0.0251,0.0232,0.0229,0.0241,0.0163,0.0571
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.0761,0.1181,0.0946,0.0789,0.0538,0.0429,0.0662,0.0736,0.126,0.0809,0.191,0.1034,0.0882,0.0712,0.0742,0.0742,0.0829,0.0858,0.1081,0.1298,0.1013,0.1181,0.079,0.1004,0.0731,0.0744,0.0885,0.0813,0.1011,0.1304,0.1143
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.3397,0.5777,0.4201,0.4531,0.3621,0.3012,0.3274,0.3529,0.5008,0.4041,0.7156,0.6182,0.5526,0.4282,0.3415,0.3415,0.4443,0.3641,0.549,0.6626,0.4236,0.3977,0.3526,0.4251,0.3518,0.3706,0.382,0.3941,0.5,0.6043,0.7556
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.3808,0.6174,0.479,0.4969,0.4322,0.3596,0.3675,0.3965,0.5652,0.4378,0.7193,0.6514,0.6486,0.4449,0.3822,0.3822,0.4857,0.4109,0.5,0.6929,0.465,0.4432,0.3947,0.4842,0.3868,0.4089,0.4275,0.4384,0.5512,0.6255,0.7174
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.4119,0.6311,0.5444,0.5691,0.5573,0.5684,0.4195,0.432,0.6081,0.4691,0.7522,0.6667,0.6667,0.5066,0.4119,0.4119,0.5567,0.4485,0.5965,0.7249,0.4979,0.533,0.4288,0.4883,0.4443,0.4233,0.4452,0.4879,0.5691,0.6628,0.7391
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.225,0.5296,0.4419,0.4705,0.4,0.4853,0.2615,0.2826,0.5062,0.325,0.5959,0.4737,0.7273,0.3441,0.2283,0.2283,0.4527,0.3149,0.3608,0.6734,0.321,0.4295,0.2625,0.3671,0.3169,0.2836,0.3119,0.3693,0.4453,0.5781,0.6731
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0705,0.1039,0.1669,0.19,0.17,0.169,0.0887,0.0757,0.141,0.0552,0.1889,0.0805,0.1667,0.098,0.0708,0.0708,0.1162,0.1107,0.1351,0.1368,0.1345,0.1867,0.0717,0.0839,0.1136,0.059,0.1273,0.0688,0.1192,0.1534,0.0833
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2967,0.5058,0.4732,0.4754,0.4179,0.5208,0.2941,0.3085,0.5077,0.3203,0.5902,0.5,0.6905,0.3678,0.2995,0.2995,0.431,0.3665,0.3562,0.567,0.3596,0.4333,0.3086,0.3725,0.3286,0.2878,0.3327,0.362,0.4577,0.5703,0.6
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.4545,0.6534,0.5497,0.5985,0.5887,0.598,0.4655,0.4606,0.6472,0.491,0.7097,0.6439,0.75,0.5186,0.4558,0.4558,0.611,0.482,0.5303,0.7519,0.4847,0.5689,0.463,0.5076,0.4744,0.4455,0.463,0.5032,0.5845,0.7126,0.8333
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.4423,0.6499,0.5807,0.6032,0.5581,0.5684,0.4564,0.4535,0.6382,0.4819,0.7297,0.6667,0.7805,0.5081,0.4428,0.4428,0.5991,0.4879,0.5082,0.7181,0.4725,0.5588,0.4517,0.491,0.4555,0.4282,0.4643,0.5119,0.5953,0.6904,0.8974
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0216,0.0365,0.0348,0.037,0.0215,0.0141,0.0156,0.0221,0.04,0.0232,0.0562,0.0575,0.0588,0.0166,0.0228,0.0228,0.0278,0.0281,0.0,0.0478,0.025,0.0204,0.0238,0.0233,0.0317,0.0211,0.0266,0.0322,0.0335,0.0428,0.0857
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2585,0.3837,0.4289,0.4,0.4206,0.4253,0.2741,0.2738,0.4373,0.2711,0.3707,0.3611,0.775,0.2794,0.2603,0.2603,0.3596,0.3397,0.3333,0.4315,0.2982,0.3756,0.2702,0.3223,0.2951,0.2461,0.3097,0.3237,0.3566,0.4286,0.4
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.2006,0.3027,0.3446,0.2943,0.3173,0.32,0.1811,0.2113,0.3814,0.2059,0.4,0.25,0.4167,0.2312,0.2011,0.2011,0.2845,0.2518,0.2368,0.3224,0.2682,0.2774,0.2085,0.2533,0.2348,0.1873,0.2793,0.237,0.301,0.3021,0.3143
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0319,0.0547,0.043,0.0412,0.0638,0.0286,0.0222,0.0312,0.067,0.0293,0.0333,0.0575,0.0,0.034,0.0311,0.0311,0.0327,0.0319,0.0,0.0431,0.0377,0.0556,0.0307,0.0378,0.0355,0.0346,0.0515,0.0213,0.0453,0.0378,0.0571
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2967,0.5163,0.4781,0.4918,0.4203,0.551,0.2957,0.3167,0.5297,0.3301,0.6316,0.4538,0.7561,0.3566,0.301,0.301,0.4245,0.3578,0.403,0.6063,0.3762,0.4698,0.3103,0.3771,0.3436,0.292,0.3658,0.3727,0.4562,0.5622,0.5854
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2552,0.4334,0.4241,0.385,0.3309,0.3579,0.2466,0.2845,0.4835,0.2904,0.5093,0.3738,0.725,0.2777,0.2587,0.2587,0.3714,0.346,0.2698,0.512,0.3066,0.3971,0.2744,0.3509,0.3152,0.2639,0.3271,0.3294,0.3893,0.4515,0.3721
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.2583,0.4245,0.3439,0.3512,0.3654,0.3947,0.2473,0.272,0.4598,0.3023,0.5579,0.4839,0.5,0.3208,0.2588,0.2588,0.3065,0.2843,0.45,0.5475,0.3446,0.3804,0.2675,0.4142,0.3009,0.2665,0.2871,0.3313,0.3929,0.555,0.5833
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.2665,0.401,0.3612,0.3857,0.3196,0.4167,0.3112,0.2758,0.4341,0.2892,0.5217,0.3871,0.5135,0.3397,0.267,0.267,0.3303,0.3027,0.4211,0.4769,0.3742,0.3974,0.2722,0.3497,0.2908,0.2659,0.2921,0.3027,0.3623,0.4583,0.4324
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.2113,0.388,0.3732,0.3475,0.2887,0.3229,0.2078,0.2402,0.3727,0.2556,0.4434,0.2973,0.4474,0.2437,0.2161,0.2161,0.2889,0.285,0.2203,0.4417,0.2379,0.2902,0.23,0.3055,0.2598,0.2332,0.2204,0.3137,0.3386,0.3652,0.4
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1192,0.1837,0.1908,0.2222,0.1515,0.1944,0.1265,0.1258,0.2123,0.1162,0.2581,0.2111,0.2162,0.1547,0.1197,0.1197,0.1677,0.1463,0.2368,0.2207,0.1856,0.2533,0.12,0.1456,0.1489,0.1109,0.1602,0.1219,0.1735,0.2565,0.1842
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.3078,0.5224,0.5009,0.5227,0.4898,0.5377,0.315,0.3242,0.5515,0.3458,0.6129,0.472,0.8095,0.3697,0.311,0.311,0.4787,0.3803,0.378,0.6581,0.3918,0.4701,0.3228,0.3896,0.3518,0.307,0.3663,0.389,0.4664,0.5954,0.5745
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.284,0.4601,0.4507,0.4364,0.3862,0.451,0.2954,0.3004,0.5117,0.3048,0.5161,0.424,0.7381,0.2909,0.2869,0.2869,0.4207,0.365,0.3333,0.5843,0.2638,0.3774,0.299,0.3502,0.3066,0.2779,0.3279,0.3494,0.4164,0.5469,0.5778
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.3022,0.5408,0.4637,0.4857,0.4459,0.5364,0.2918,0.313,0.5405,0.3412,0.6,0.5252,0.7273,0.3616,0.3049,0.3049,0.4714,0.3633,0.3556,0.6607,0.3429,0.4429,0.3168,0.3755,0.3292,0.3003,0.3404,0.3724,0.4584,0.5993,0.6042
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.2298,0.1154,0.1449,0.2083,0.0,0.0,0.1,0.1671,0.1053,0.1692,0.15,0.1818,0.0,0.25,0.204,0.204,0.1186,0.1448,0.0,0.1379,0.1053,0.1053,0.2055,0.1333,0.1509,0.1569,0.1698,0.1571,0.1031,0.125,0.2
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.0254,0.0296,0.0318,0.0324,0.0154,0.0,0.014,0.0234,0.0329,0.0228,0.0505,0.044,0.0,0.0325,0.0248,0.0248,0.0171,0.0235,0.0476,0.0254,0.0226,0.0291,0.0241,0.0265,0.0156,0.0254,0.028,0.0294,0.028,0.0155,0.0455
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.0225,0.0286,0.0315,0.0283,0.0,0.0,0.019,0.0212,0.0308,0.0193,0.0561,0.043,0.0,0.0282,0.0222,0.0222,0.0179,0.0218,0.0455,0.027,0.0219,0.027,0.0224,0.0226,0.0183,0.021,0.0234,0.0283,0.0247,0.0142,0.0455
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.0169,0.0203,0.0203,0.0164,0.009,0.0,0.0116,0.0154,0.0205,0.0163,0.0455,0.0339,0.0,0.0199,0.0158,0.0158,0.0117,0.0156,0.037,0.0195,0.0146,0.0253,0.0164,0.0178,0.0162,0.0156,0.0152,0.0199,0.0172,0.012,0.0444
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.0086,0.0183,0.0132,0.0151,0.0047,0.0,0.0063,0.0082,0.0162,0.0087,0.0417,0.0242,0.0,0.0096,0.008,0.008,0.0096,0.01,0.0211,0.0208,0.0067,0.0096,0.009,0.0092,0.0079,0.0086,0.0084,0.0105,0.0121,0.0103,0.0385
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0482,0.0755,0.0395,0.0278,0.0,0.0,0.0408,0.039,0.0792,0.0303,0.0909,0.2222,0.0,0.0625,0.0452,0.0452,0.0297,0.0396,0.1667,0.0833,0.025,0.027,0.0345,0.0141,0.0265,0.0355,0.0594,0.0,0.0526,0.0278,0.5
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.0134,0.0249,0.0185,0.0192,0.0,0.0,0.0072,0.0126,0.0214,0.0126,0.0571,0.0341,0.0,0.0175,0.0133,0.0133,0.0148,0.0154,0.0323,0.0299,0.0109,0.0149,0.0124,0.0132,0.0099,0.0126,0.01,0.017,0.0162,0.0145,0.0541
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.021,0.0226,0.0189,0.0209,0.0076,0.0,0.013,0.0161,0.0216,0.0158,0.0488,0.0308,0.0,0.0153,0.0195,0.0195,0.0134,0.0178,0.0312,0.0233,0.0106,0.0191,0.0193,0.014,0.014,0.0148,0.015,0.0154,0.0173,0.0126,0.0476
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.0273,0.0254,0.0228,0.0241,0.0093,0.0,0.0179,0.0205,0.0253,0.0203,0.0583,0.037,0.0,0.0184,0.0253,0.0253,0.0155,0.0225,0.0364,0.0253,0.0122,0.0171,0.0248,0.0168,0.017,0.0195,0.0187,0.02,0.0206,0.0136,0.0513
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0084,0.0345,0.0,0.0,0.0,0.0,0.0,0.0078,0.0256,0.0,0.0,0.0,0.0,0.0,0.0091,0.0091,0.0263,0.0098,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0095,0.0286,0.0,0.0182,0.0,0.0
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.0111,0.0155,0.0167,0.0172,0.0116,0.0,0.0054,0.0115,0.0214,0.0131,0.0411,0.0492,0.0,0.0131,0.0113,0.0113,0.0095,0.013,0.0465,0.02,0.0093,0.0186,0.0107,0.0129,0.0086,0.0114,0.0135,0.0146,0.0129,0.0068,0.0455
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.0594,0.0608,0.0262,0.019,0.0,0.0,0.0348,0.041,0.0294,0.0489,0.1026,0.1429,0.0,0.0734,0.054,0.054,0.0259,0.0357,0.2,0.0658,0.0278,0.0357,0.0504,0.0472,0.03,0.0497,0.0439,0.0341,0.0466,0.0455,0.1818
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.2164,0.0571,0.0408,0.0,0.0,0.0,0.2,0.144,0.0625,0.1867,0.1111,0.125,0.0,0.1429,0.1957,0.1957,0.0882,0.1304,0.0,0.0667,0.0,0.0,0.1906,0.0769,0.05,0.1782,0.1463,0.1316,0.0968,0.1,0.0
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.0202,0.0218,0.0176,0.0187,0.0,0.0,0.0089,0.0141,0.025,0.0147,0.051,0.0345,0.0,0.0158,0.0188,0.0188,0.0164,0.0165,0.0351,0.03,0.011,0.0152,0.0178,0.0148,0.0106,0.0133,0.0134,0.0132,0.0156,0.0146,0.0667
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.021,0.0202,0.0167,0.0183,0.0,0.0,0.0118,0.0149,0.0233,0.0162,0.0667,0.0323,0.0,0.014,0.0195,0.0195,0.0158,0.0176,0.0465,0.0233,0.0099,0.0069,0.0179,0.0165,0.0133,0.0139,0.0176,0.0111,0.0147,0.0124,0.0833
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.0421,0.0396,0.0307,0.0282,0.0,0.0,0.0267,0.031,0.0346,0.0338,0.0656,0.0577,0.0,0.0391,0.0394,0.0394,0.026,0.0308,0.0455,0.037,0.0366,0.0241,0.0373,0.0234,0.0188,0.0392,0.043,0.0277,0.0275,0.0236,0.0909
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.0312,0.0395,0.039,0.0236,0.0,0.0,0.032,0.0299,0.043,0.0266,0.0556,0.0698,0.0,0.0411,0.0311,0.0311,0.0161,0.0321,0.0556,0.0446,0.0441,0.0441,0.0306,0.0349,0.0269,0.032,0.0484,0.0224,0.0365,0.0312,0.1111
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.0134,0.0219,0.017,0.0163,0.0,0.0,0.0049,0.0116,0.0256,0.0152,0.0769,0.0339,0.0,0.0125,0.0122,0.0122,0.0149,0.0147,0.0278,0.036,0.0049,0.0068,0.0132,0.0134,0.0087,0.0108,0.0115,0.0122,0.0152,0.0231,0.0455
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.03,0.0787,0.0241,0.0,0.0,0.0,0.0,0.0327,0.0357,0.0332,0.1724,0.1304,0.0,0.0548,0.0314,0.0314,0.0153,0.0325,0.2,0.0943,0.0,0.0,0.0264,0.0476,0.0145,0.036,0.0161,0.0556,0.0604,0.0351,0.2
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.0118,0.0218,0.0166,0.0173,0.0079,0.0,0.0079,0.0114,0.0182,0.013,0.0541,0.0306,0.0,0.0152,0.0114,0.0114,0.012,0.0134,0.0263,0.0247,0.0094,0.0133,0.0114,0.0147,0.0077,0.0111,0.0104,0.0133,0.0147,0.0128,0.0513
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.0095,0.0172,0.011,0.0108,0.0093,0.0,0.0075,0.0094,0.0154,0.0101,0.05,0.0326,0.0,0.0104,0.0094,0.0094,0.0078,0.0115,0.0299,0.0231,0.0035,0.0094,0.0093,0.0107,0.0047,0.0095,0.0094,0.0113,0.012,0.0094,0.0556
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.0107,0.0201,0.0159,0.0174,0.0075,0.0,0.0079,0.0104,0.0177,0.011,0.0472,0.0238,0.0,0.0118,0.0102,0.0102,0.0129,0.0128,0.0235,0.0233,0.0083,0.0154,0.0108,0.0116,0.0082,0.0098,0.0093,0.0123,0.0124,0.0116,0.0476
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.0722,0.1061,0.0971,0.0851,0.0606,0.025,0.0676,0.0727,0.1436,0.0847,0.1616,0.0989,0.0769,0.0783,0.0709,0.0709,0.0837,0.0785,0.0952,0.1206,0.1022,0.1442,0.0762,0.0976,0.0747,0.0746,0.0891,0.0786,0.0945,0.1071,0.0909
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.0644,0.0941,0.0889,0.0794,0.0658,0.0588,0.0669,0.065,0.1255,0.0763,0.1589,0.0851,0.1111,0.0681,0.0634,0.0634,0.0794,0.0731,0.0909,0.1166,0.0993,0.1339,0.0689,0.0852,0.0721,0.0643,0.0816,0.0722,0.0857,0.1033,0.0909
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.0514,0.0892,0.0679,0.0625,0.045,0.038,0.0484,0.051,0.1057,0.0622,0.156,0.0763,0.0833,0.0527,0.0498,0.0498,0.0624,0.0589,0.0741,0.1055,0.0825,0.1006,0.0541,0.0681,0.0593,0.0517,0.0604,0.0591,0.0742,0.096,0.0889
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.0211,0.0671,0.0433,0.0376,0.0185,0.015,0.0216,0.0235,0.0709,0.0287,0.1181,0.0545,0.0465,0.0277,0.0205,0.0205,0.0406,0.0306,0.0421,0.0934,0.0378,0.0511,0.0244,0.0384,0.0261,0.0234,0.0291,0.0338,0.0472,0.0788,0.0769
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0867,0.1235,0.0984,0.1154,0.1154,0.1429,0.0938,0.0842,0.1164,0.09,0.1667,0.0667,0.1,0.1148,0.0834,0.0834,0.0896,0.0878,0.5,0.1538,0.12,0.1333,0.0825,0.1068,0.1119,0.0924,0.1,0.0855,0.1202,0.1373,0.1429
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.0408,0.0852,0.0585,0.0577,0.0515,0.0395,0.0377,0.038,0.0887,0.0503,0.1296,0.0667,0.0811,0.05,0.0396,0.0396,0.0542,0.0435,0.0645,0.1068,0.0578,0.0796,0.0409,0.0546,0.0393,0.0343,0.0419,0.0472,0.0638,0.1,0.0789
